Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
abdelal01,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968","Duke University"
abdulza01,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946","Iowa State University"
abdulka01,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles"
abdulma01,Mahdi Abdul-Rahman,1965,1974,G,6-2,185,"April 15, 1942","University of California, Los Angeles"
abdulma02,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969","Louisiana State University"
abdulta01,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","San Jose State University"
abdursh01,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976","University of California"
abernto01,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954","Indiana University"
ablefo01,Forest Able,1957,1957,G,6-3,180,"July 27, 1932","Western Kentucky University"
abramjo01,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919","Salem International University"
ackeral01,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983","Pepperdine University"
ackerdo01,Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930","Long Island University"
acresma01,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962","Oral Roberts University"
actonbu01,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942","Hillsdale College"
acyqu01,Quincy Acy,2013,2014,F,6-7,233,"October 6, 1990","Baylor University"
adamsal01,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954","University of Oklahoma"
adamsdo01,Don Adams,1971,1977,F,6-6,210,"November 27, 1947","Northwestern University"
adamsge01,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949","Gardner-Webb University"
adamsha01,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984","University of Arizona"
adamsmi01,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963","Boston College"
adamsst01,Steven Adams,2014,2014,C,7-0,250,"July 28, 1993","University of Pittsburgh"
addisra01,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964","Syracuse University"
adelmri01,Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946","Loyola Marymount University"
adrieje01,Jeff Adrien,2011,2014,F,6-7,243,"February 10, 1986","University of Connecticut"
afflaar01,Arron Afflalo,2008,2014,G,6-5,215,"October 15, 1985","University of California, Los Angeles"
agerma01,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984","Michigan State University"
aguirma01,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959","DePaul University"
ahearbl01,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984","Missouri State University"
aingeda01,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959","Brigham Young University"
aitchma01,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944","Michigan State University"
ajincal01,Alexis Ajinca,2009,2011,C,7-0,220,"May 6, 1988",""
akinhe01,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944","Morehead State University"
akognjo01,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton"
alabiso01,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988","Florida State University"
alarima01,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963","Duke University"
alcorga01,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno"
aldrico01,Cole Aldrich,2011,2014,C,6-11,245,"October 31, 1988","University of Kansas"
aldrila01,LaMarcus Aldridge,2007,2014,F,6-11,240,"July 19, 1985","University of Texas at Austin"
aleksch01,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","University of Connecticut"
alexaco01,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973","University of Virginia"
alexaco02,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","California State University, Fresno"
alexaga01,Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969","University of South Florida"
alexajo01,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986","West Virginia University"
alexavi01,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969","Iowa State University"
alforst01,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964","Indiana University"
allenbi01,Bill Allen,1968,1968,C-F,6-8,205,"","New Mexico State University"
allenbo01,Bob Allen,1969,1969,F,6-9,205,"July 17, 1946","Marshall University"
allenje01,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973","University of Pennsylvania"
allenla01,Lavoy Allen,2012,2014,F,6-9,225,"February 4, 1989","Temple University"
allenlu01,Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles"
