Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
gaborbi01,Bill Gabor,1950,1955,G-F,5-11,170,"May 13, 1922","Syracuse University"
gadzuda01,Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978","University of California, Los Angeles"
gaide01,Deng Gai,2006,2006,F,6-9,250,"March 22, 1982","Fairfield University"
gaineel01,Elmer Gainer,1948,1950,F-C,6-6,195,"","DePaul University"
gainebi01,Bill Gaines,1969,1969,G,6-4,185,"March 10, 1946","East Texas State University"
gaineco01,Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965","Loyola Marymount University"
gaineda01,David Gaines,1968,1968,G,6-1,170,"February 27, 1942","LeMoyne-Owen College"
gainere01,Reece Gaines,2004,2006,G,6-6,205,"January 7, 1981","University of Louisville"
gainesu01,Sundiata Gaines,2010,2012,G,6-1,185,"April 18, 1986","University of Georgia"
galemi01,Mike Gale,1972,1982,G,6-4,185,"July 18, 1950","Elizabeth City State University"
gallach01,Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969","Creighton University"
gallaha01,Harry Gallatin,1949,1958,F-C,6-6,210,"April 26, 1927","Truman State University"
gallida01,Danilo Gallinari,2009,2013,F,6-10,225,"August 8, 1988",""
gambeda01,Dave Gambee,1959,1970,F,6-6,215,"April 16, 1937","Oregon State University"
gamblke01,Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965","University of Iowa"
ganttbo01,Bob Gantt,1947,1947,F-C,6-4,205,"June 22, 1922","Duke University"
garbajo01,Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",""
garceru01,Ruben Garces,2001,2001,F,6-9,245,"October 17, 1973","Providence College"
garcial01,Alex Garcia,2004,2005,G,6-3,220,"March 4, 1980",""
garcifr01,Francisco Garcia,2006,2014,F-G,6-7,195,"December 31, 1981","University of Louisville"
gardnch01,Chuck Gardner,1968,1968,F,6-8,205,"September 30, 1944","University of Colorado"
gardnea01,Earl Gardner,1949,1949,F,6-3,195,"September 18, 1923","DePauw University"
gardnke01,Kenneth Gardner,1976,1976,F,6-5,205,"September 27, 1949","University of Utah"
gardnth01,Thomas Gardner,2008,2009,G,6-5,225,"February 8, 1985","University of Missouri"
gardnve01,Vern Gardner,1950,1952,F-C,6-5,200,"May 14, 1925","University of Utah"
garfija01,Jack Garfinkel,1947,1949,G,6-0,190,"June 13, 1918","St. John's University"
garlaga01,Gary Garland,1980,1980,G,6-4,180,"October 12, 1957","DePaul University"
garlawi01,Winston Garland,1988,1995,G,6-2,170,"December 19, 1964","Missouri State University"
garmadi01,Dick Garmaker,1956,1961,G-F,6-3,200,"October 29, 1932","University of Minnesota"
garnebi01,Bill Garner,1968,1968,C,6-10,220,"June 17, 1940","University of Portland"
garnech01,Chris Garner,1998,2001,G,5-10,156,"February 2, 1975","University of Memphis"
garnebi02,Bill Garnett,1983,1986,F,6-9,225,"April 22, 1960","University of Wyoming"
garneke01,Kevin Garnett,1996,2014,F,6-11,220,"May 19, 1976",""
garnema01,Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975","Santa Clara University"
garreca01,Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956","Oral Roberts University"
garrede01,Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966","Indiana University"
garredi02,Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988","Iowa State University"
