GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310PHI,240,33,88,.375,4,18,.222,5,11,.455,16,38,54,19,9,5,20,22,75,0,0
201211020ORL,240,32,84,.381,7,26,.269,18,27,.667,15,30,45,22,5,5,14,17,89,0,0
201211030MIA,240,49,95,.516,5,21,.238,13,20,.650,18,29,47,13,5,3,13,21,116,0,0
201211060DEN,240,41,92,.446,10,30,.333,17,22,.773,21,31,52,23,9,11,15,21,109,1,1
201211070HOU,240,37,82,.451,7,18,.389,12,21,.571,16,33,49,20,9,5,21,16,93,0,1
201211090DEN,240,40,92,.435,6,17,.353,18,25,.720,13,40,53,26,11,12,11,17,104,1,1
201211100GSW,290,43,113,.381,5,24,.208,16,27,.593,23,42,65,30,9,9,15,21,107,0,1
201211120PHO,240,41,76,.539,7,16,.438,11,18,.611,9,34,43,26,2,10,15,21,100,0,0
201211150DEN,240,37,88,.420,6,20,.300,13,19,.684,21,27,48,19,6,7,13,20,93,1,0
201211170SAS,240,39,78,.500,4,11,.364,18,26,.692,12,27,39,19,8,2,21,19,100,0,0
201211190MEM,240,36,81,.444,5,15,.333,20,28,.714,21,26,47,21,9,3,17,15,97,0,1
201211210MIN,240,35,79,.443,9,21,.429,22,26,.846,14,35,49,16,5,8,20,24,101,0,1
201211230DEN,240,40,84,.476,5,19,.263,17,30,.567,11,28,39,21,9,7,11,18,102,1,1
201211250DEN,240,40,75,.533,5,13,.385,17,21,.810,9,32,41,27,9,12,14,20,102,1,1
201211260UTA,240,40,73,.548,5,14,.357,18,32,.563,13,25,38,22,6,5,17,26,103,0,0
201211290GSW,240,38,84,.452,10,21,.476,19,24,.792,10,30,40,25,9,7,15,16,105,0,0
201211300LAL,240,40,86,.465,8,24,.333,15,22,.682,13,25,38,22,8,1,15,19,103,0,0
201212030DEN,240,40,85,.471,6,15,.400,27,43,.628,23,30,53,25,11,7,17,20,113,1,1
201212050ATL,240,38,79,.481,7,17,.412,21,25,.840,11,29,40,24,10,4,20,25,104,0,0
201212070IND,240,38,86,.442,3,17,.176,13,20,.650,10,27,37,24,10,4,8,17,92,0,1
201212090NYK,240,40,72,.556,5,17,.294,21,29,.724,5,35,40,18,4,6,16,22,106,0,0
201212110DET,240,37,80,.463,6,17,.353,21,34,.618,7,30,37,22,10,12,9,19,101,0,1
201212120MIN,240,42,83,.506,7,16,.438,14,24,.583,12,30,42,24,8,5,19,30,105,0,0
201212140DEN,240,36,69,.522,4,10,.400,23,26,.885,7,28,35,20,8,10,19,19,99,1,1
201212160SAC,240,46,85,.541,8,18,.444,22,29,.759,17,35,52,27,6,5,11,25,122,0,1
201212180DEN,240,38,87,.437,7,19,.368,29,42,.690,13,45,58,23,11,10,15,17,112,1,1
201212200POR,240,38,98,.388,0,22,.000,17,24,.708,17,42,59,20,5,6,9,20,93,0,0
201212220DEN,240,47,92,.511,6,20,.300,10,15,.667,12,34,46,36,8,12,12,21,110,1,1
201212250LAC,240,40,80,.500,3,13,.231,17,24,.708,9,33,42,26,8,4,18,16,100,0,0
201212260DEN,240,45,94,.479,12,22,.545,24,32,.750,20,28,48,31,10,7,10,23,126,1,1
201212280DAL,240,43,94,.457,12,28,.429,8,14,.571,17,43,60,25,10,2,17,24,106,0,1
201212290MEM,240,29,68,.426,3,16,.188,11,18,.611,10,31,41,17,5,7,16,17,72,0,0
201301010DEN,240,37,82,.451,7,23,.304,11,21,.524,15,37,52,28,11,4,15,26,92,1,1
201301030DEN,240,40,86,.465,6,22,.273,11,20,.550,11,28,39,27,11,11,7,26,97,1,0
201301050DEN,240,39,76,.513,4,11,.364,28,39,.718,13,35,48,20,7,7,19,22,110,1,1
201301060LAL,240,44,101,.436,9,24,.375,15,23,.652,17,27,44,33,10,6,8,21,112,0,1
201301090DEN,240,41,94,.436,4,12,.333,22,36,.611,18,30,48,24,6,6,10,7,108,1,1
201301110DEN,240,36,82,.439,4,16,.250,22,31,.710,19,37,56,24,4,7,22,21,98,1,1
201301130DEN,240,43,90,.478,9,27,.333,21,27,.778,14,30,44,27,11,2,8,16,116,1,1
201301150DEN,265,47,99,.475,9,25,.360,12,19,.632,11,28,39,31,12,2,10,23,115,1,1
201301160OKC,240,33,73,.452,2,15,.133,29,37,.784,11,24,35,21,7,8,19,23,97,0,0
201301180DEN,240,41,84,.488,7,16,.438,19,31,.613,9,25,34,17,13,4,14,23,108,1,0
201301200DEN,265,45,93,.484,8,18,.444,23,34,.676,20,30,50,26,9,6,23,33,121,1,1
201301230HOU,240,40,86,.465,8,21,.381,17,25,.680,11,30,41,22,13,8,14,12,105,0,1
201301260DEN,240,47,89,.528,13,31,.419,14,17,.824,10,41,51,34,13,7,15,21,121,1,1
201301280DEN,240,37,78,.474,7,14,.500,21,30,.700,9,32,41,23,10,4,14,23,102,1,1
201301300DEN,240,42,82,.512,8,28,.286,26,36,.722,9,31,40,21,9,7,20,23,118,1,1
201302010DEN,240,44,84,.524,7,22,.318,18,22,.818,7,25,32,29,14,6,8,20,113,1,1
201302050DEN,240,40,91,.440,5,16,.313,27,37,.730,16,37,53,26,9,12,17,19,112,1,1
201302070DEN,240,50,86,.581,9,19,.474,19,23,.826,16,30,46,29,11,8,10,16,128,1,1
201302090CLE,240,40,80,.500,6,17,.353,25,34,.735,15,31,46,23,9,8,20,21,111,0,1
