GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201211020ORL,240,42,86,.488,5,15,.333,13,18,.722,11,35,46,24,8,8,11,24,102,1,1
201211040ORL,240,45,92,.489,9,11,.818,16,19,.842,13,33,46,26,7,1,10,17,115,1,1
201211060CHI,240,36,86,.419,8,19,.421,13,17,.765,11,32,43,23,4,5,11,22,93,0,0
201211070MIN,240,28,80,.350,3,12,.250,16,20,.800,12,29,41,17,6,7,19,22,75,0,0
201211090ORL,240,30,70,.429,4,11,.364,4,8,.500,7,28,35,19,3,6,18,22,68,1,0
201211110BRK,240,30,84,.357,1,13,.077,13,18,.722,11,31,42,22,6,4,11,22,74,0,0
201211130ORL,240,37,75,.493,5,14,.357,10,17,.588,9,33,42,28,7,5,20,9,89,1,0
201211160DET,240,44,89,.494,7,17,.412,15,17,.882,14,30,44,27,7,3,14,17,110,0,1
201211180TOR,240,32,80,.400,4,13,.308,18,21,.857,8,32,40,18,2,1,15,22,86,0,0
201211190ATL,240,31,82,.378,2,10,.200,8,14,.571,11,44,55,17,6,5,19,19,72,0,0
201211210ORL,240,36,83,.434,5,20,.250,13,18,.722,9,44,53,24,3,5,14,23,90,1,1
201211230ORL,240,40,80,.500,11,21,.524,17,20,.850,12,24,36,21,5,3,18,30,108,1,1
201211250ORL,265,41,90,.456,11,26,.423,17,19,.895,10,32,42,20,9,8,18,19,110,1,0
201211280ORL,240,41,95,.432,2,15,.133,5,8,.625,18,28,46,16,8,3,16,14,89,1,0
201211300ORL,240,35,78,.449,1,11,.091,15,19,.789,8,28,36,20,5,2,9,19,86,1,0
201212020LAL,240,43,86,.500,8,23,.348,19,20,.950,5,39,44,34,5,10,12,28,113,0,1
201212030GSW,240,40,92,.435,8,23,.348,14,16,.875,11,32,43,29,8,4,8,19,102,0,1
201212050UTA,240,34,77,.442,1,15,.067,12,17,.706,13,33,46,15,6,7,19,20,81,0,0
201212070SAC,240,30,80,.375,4,15,.267,18,21,.857,6,34,40,17,6,3,16,24,82,0,0
201212090PHO,240,40,77,.519,5,15,.333,13,18,.722,9,35,44,31,7,0,18,15,98,0,1
201212120ORL,240,31,81,.383,7,22,.318,11,11,1.000,10,29,39,17,9,3,15,14,80,1,0
201212140ORL,240,41,86,.477,9,21,.429,8,11,.727,13,40,53,26,8,11,15,15,99,1,1
201212150CHA,240,43,79,.544,5,17,.294,16,19,.842,11,32,43,25,1,8,14,25,107,0,1
201212170ORL,240,44,82,.537,6,14,.429,8,8,1.000,6,36,42,31,9,3,17,22,102,1,1
201212190ORL,240,34,81,.420,8,20,.400,14,17,.824,10,38,48,18,11,3,13,12,90,1,1
201212210TOR,240,35,70,.500,4,14,.286,16,19,.842,8,37,45,22,4,2,18,15,90,0,0
201212230ORL,240,38,76,.500,9,20,.450,8,15,.533,12,33,45,25,4,3,19,22,93,1,0
201212260ORL,240,36,79,.456,11,30,.367,11,13,.846,11,27,38,25,5,5,13,17,94,1,0
201212280WAS,240,39,86,.453,10,28,.357,9,11,.818,9,32,41,25,5,2,13,13,97,0,0
201212290ORL,240,36,81,.444,5,18,.278,11,22,.500,10,25,35,18,6,8,7,13,88,1,0
201212310ORL,265,42,88,.477,8,23,.348,18,22,.818,18,32,50,24,5,4,16,24,110,1,0
201301020ORL,240,37,78,.474,9,24,.375,11,14,.786,8,28,36,16,4,4,12,22,94,1,0
201301050ORL,240,41,85,.482,10,26,.385,14,18,.778,12,33,45,23,5,4,13,19,106,1,0
201301070POR,265,46,93,.495,11,30,.367,16,18,.889,6,30,36,35,4,4,10,24,119,0,0
201301090DEN,240,44,93,.473,8,24,.333,9,10,.900,11,32,43,23,5,11,11,27,105,0,0
201301120LAC,240,39,81,.481,11,25,.440,15,19,.789,10,31,41,28,6,1,13,12,104,0,1
201301140WAS,240,37,87,.425,5,18,.278,12,15,.800,11,27,38,23,7,3,14,16,91,0,0
201301160ORL,240,40,86,.465,12,21,.571,5,5,1.000,8,32,40,29,10,2,12,20,97,1,1
201301180ORL,240,37,79,.468,11,31,.355,15,21,.714,10,26,36,20,3,3,14,28,100,1,0
201301200ORL,240,40,79,.506,9,21,.429,16,20,.800,5,37,42,26,5,3,13,14,105,1,0
201301220DET,240,38,84,.452,8,20,.400,6,8,.750,6,35,41,27,4,2,13,20,90,0,0
201301240ORL,240,35,81,.432,8,18,.444,17,20,.850,10,31,41,22,6,4,13,12,95,1,0
201301270ORL,240,40,90,.444,10,23,.435,12,16,.750,18,33,51,26,9,2,15,21,102,1,0
201301280BRK,240,32,79,.405,6,27,.222,7,9,.778,11,25,36,24,9,5,15,12,77,0,0
201301300NYK,240,38,77,.494,7,26,.269,14,16,.875,8,23,31,14,4,0,10,13,97,0,0
201302010BOS,240,36,95,.379,3,19,.158,9,9,1.000,15,32,47,19,10,6,14,13,84,0,0
201302020MIL,240,41,94,.436,5,19,.263,11,22,.500,20,32,52,32,9,5,17,17,98,0,0
201302040PHI,240,27,80,.338,1,12,.083,6,8,.750,10,36,46,20,5,2,12,5,61,0,0
201302060ORL,240,30,87,.345,6,20,.300,10,14,.714,14,36,50,16,6,5,18,20,76,1,0
201302080CLE,240,45,86,.523,8,21,.381,10,13,.769,9,30,39,30,3,7,19,26,108,0,0
201302100ORL,240,47,93,.505,5,15,.333,11,18,.611,17,33,50,34,5,3,10,16,110,1,1
201302130ORL,240,34,82,.415,3,14,.214,5,9,.556,7,34,41,18,7,2,15,21,76,1,0
201302190ORL,240,37,89,.416,4,25,.160,14,17,.824,13,33,46,26,7,2,14,20,92,1,0
201302200DAL,240,39,85,.459,5,16,.313,13,22,.591,10,33,43,24,5,4,11,13,96,0,0
201302220MEM,240,35,84,.417,5,15,.333,7,9,.778,11,31,42,19,6,8,12,26,82,0,0
201302230ORL,240,38,79,.481,4,14,.286,14,22,.636,11,25,36,22,5,7,15,20,94,1,0
201302260PHI,240,41,76,.539,5,13,.385,11,16,.688,6,39,45,33,4,3,13,18,98,0,1
201302270ORL,240,37,83,.446,6,19,.316,21,25,.840,8,30,38,25,6,2,18,30,101,1,0
201303010ORL,240,44,78,.564,9,22,.409,13,16,.813,6,25,31,30,8,1,14,21,110,1,0
201303030ORL,240,29,73,.397,2,15,.133,22,26,.846,12,25,37,19,6,4,14,14,82,1,0
201303040NOH,240,43,87,.494,7,21,.333,12,16,.750,11,29,40,26,8,3,8,20,105,0,1
201303060MIA,240,40,89,.449,6,28,.214,10,12,.833,15,30,45,26,10,3,17,30,96,0,0
201303080ORL,240,32,82,.390,5,15,.333,17,19,.895,12,26,38,16,8,5,20,22,86,1,0
201303100ORL,240,41,83,.494,12,27,.444,5,7,.714,5,36,41,28,4,9,16,14,99,1,1
201303120ORL,240,37,93,.398,10,32,.313,13,17,.765,13,31,44,18,5,4,14,35,97,1,0
201303150OKC,240,40,92,.435,7,27,.259,17,21,.810,7,26,33,12,12,0,10,23,104,0,0
201303170MIL,240,47,93,.505,5,21,.238,10,15,.667,11,33,44,21,10,4,12,21,109,0,0
201303190IND,240,28,88,.318,3,15,.200,14,21,.667,10,32,42,12,7,7,10,22,73,0,0
201303200NYK,240,38,79,.481,5,17,.294,13,18,.722,14,28,42,18,7,0,16,13,94,0,0
201303220ORL,240,38,92,.413,5,16,.313,8,10,.800,11,33,44,20,10,5,14,26,89,1,0
201303250ORL,240,37,86,.430,9,24,.375,11,18,.611,10,33,43,25,9,6,12,18,94,1,0
201303270CHA,240,44,84,.524,7,19,.368,13,18,.722,7,27,34,33,6,6,10,21,108,0,0
201303290ORL,240,37,86,.430,5,15,.333,18,22,.818,13,28,41,23,7,7,9,21,97,1,1
201303300ATL,240,34,87,.391,4,13,.308,16,27,.593,17,36,53,12,10,4,17,25,88,0,0
201304010HOU,240,39,93,.419,6,15,.400,19,21,.905,14,34,48,22,6,9,9,22,103,0,0
201304030SAS,240,35,90,.389,6,17,.353,8,9,.889,9,38,47,24,12,7,13,16,84,0,0
201304050CHI,240,34,80,.425,4,10,.400,14,17,.824,10,35,45,18,6,7,13,15,86,0,0
201304070CLE,240,34,90,.378,1,13,.077,16,22,.727,19,34,53,21,9,7,14,17,85,0,0
201304100ORL,265,51,109,.468,8,15,.533,3,8,.375,18,44,62,27,6,3,16,19,113,1,1
