GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201211020BOS,240,40,86,.465,8,18,.444,11,12,.917,11,35,46,26,12,5,18,17,99,0,1
201211030MIL,240,41,79,.519,9,24,.375,14,21,.667,3,34,37,32,8,9,15,18,105,1,1
201211070MIL,240,35,91,.385,6,15,.400,14,21,.667,16,25,41,22,10,9,10,18,90,1,0
201211090WAS,240,40,78,.513,6,15,.400,15,19,.789,6,32,38,21,11,6,21,21,101,0,1
201211100MIL,240,35,88,.398,3,19,.158,19,26,.731,16,28,44,20,7,3,11,25,92,1,0
201211120PHI,240,41,80,.513,7,20,.350,16,18,.889,6,42,48,25,8,7,23,19,105,0,1
201211140MIL,240,38,91,.418,3,16,.188,20,25,.800,14,32,46,24,11,8,6,22,99,1,1
201211170MIL,240,43,93,.462,13,25,.520,18,24,.750,16,25,41,28,9,4,11,18,117,1,1
201211190CHA,240,44,93,.473,2,16,.125,8,11,.727,9,30,39,26,5,12,14,27,98,0,0
201211210MIA,265,46,109,.422,5,29,.172,9,12,.750,16,31,47,18,9,3,11,21,106,0,0
201211240MIL,240,38,88,.432,3,17,.176,7,10,.700,10,30,40,20,10,10,9,20,86,1,0
201211260CHI,240,39,85,.459,3,15,.200,12,19,.632,13,23,36,23,4,12,12,17,93,0,1
201211280MIL,240,33,72,.458,5,13,.385,17,21,.810,5,31,36,24,8,4,17,20,88,1,0
201211300MIN,240,34,93,.366,5,18,.278,12,16,.750,13,34,47,14,10,14,11,24,85,0,0
201212010MIL,240,36,79,.456,4,13,.308,15,20,.750,9,33,42,24,6,6,14,13,91,1,1
201212030NOH,240,29,76,.382,8,19,.421,15,23,.652,19,21,40,20,5,9,16,16,81,0,0
201212050SAS,240,35,84,.417,5,12,.417,24,29,.828,8,28,36,24,11,4,11,21,99,0,0
201212070MIL,240,38,94,.404,6,14,.429,26,32,.813,23,36,59,20,5,14,10,17,108,1,1
201212090BRK,240,33,71,.465,7,16,.438,24,30,.800,6,27,33,21,14,7,18,19,97,0,1
201212120MIL,240,39,96,.406,6,17,.353,14,24,.583,24,36,60,22,8,6,9,18,98,1,1
201212140CLE,240,33,83,.398,5,15,.333,19,27,.704,18,25,43,23,16,7,17,18,90,0,1
201212150MIL,240,30,83,.361,7,21,.333,18,25,.720,14,26,40,15,6,5,13,22,85,1,0
201212180MIL,240,37,86,.430,6,14,.429,18,26,.692,12,25,37,18,10,12,15,29,98,1,1
201212190MEM,240,30,85,.353,5,20,.250,15,19,.789,11,33,44,11,10,5,16,19,80,0,0
201212210BOS,265,36,83,.434,5,16,.313,22,36,.611,15,42,57,22,8,3,21,15,99,0,1
201212220MIL,240,31,79,.392,4,20,.200,16,23,.696,9,32,41,17,5,7,14,15,82,1,0
201212260MIL,240,40,84,.476,10,17,.588,18,19,.947,14,35,49,24,12,5,18,20,108,1,1
201212290MIL,240,40,98,.408,8,21,.381,16,17,.941,14,31,45,29,17,8,5,19,104,1,1
