GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210300CLE,240,36,79,.456,7,20,.350,15,22,.682,18,36,54,22,7,5,20,21,94,1,1
201211020CLE,240,32,79,.405,8,20,.400,14,27,.519,11,22,33,23,7,1,17,25,86,1,0
201211030MIL,240,39,83,.470,6,16,.375,18,29,.621,9,33,42,19,9,0,15,21,102,0,0
201211050LAC,240,40,92,.435,14,29,.483,14,22,.636,18,25,43,24,12,2,17,18,108,0,1
201211070GSW,240,36,86,.419,11,32,.344,13,21,.619,11,28,39,20,7,1,16,26,96,0,0
201211090PHO,240,37,77,.481,9,21,.429,22,27,.815,9,30,39,19,11,4,20,25,105,0,0
201211110OKC,240,34,83,.410,7,23,.304,16,23,.696,10,26,36,19,11,0,12,19,91,0,0
201211130BRK,240,38,87,.437,3,14,.214,22,26,.846,16,19,35,16,10,0,12,26,101,0,0
201211170CLE,240,36,96,.375,8,25,.320,15,20,.750,13,25,38,21,12,4,11,15,95,1,0
201211180PHI,240,30,84,.357,5,20,.250,14,15,.933,18,30,48,14,6,4,15,16,79,0,0
201211210CLE,240,35,86,.407,13,23,.565,9,14,.643,15,40,55,17,3,6,16,14,92,1,1
201211230ORL,240,37,87,.425,8,26,.308,22,30,.733,17,21,38,19,8,1,13,24,104,0,0
201211240MIA,240,35,79,.443,14,31,.452,24,33,.727,10,22,32,21,9,0,10,29,108,0,0
201211260MEM,240,31,76,.408,4,16,.250,12,15,.800,14,27,41,12,10,5,16,23,78,0,0
201211270CLE,240,30,84,.357,2,15,.133,16,22,.727,14,31,45,21,9,4,18,21,78,1,0
201211300ATL,240,41,85,.482,10,23,.435,21,22,.955,18,31,49,21,8,3,18,25,113,0,1
201212010CLE,290,43,99,.434,13,35,.371,18,22,.818,15,33,48,32,6,4,16,21,117,1,0
201212030DET,240,32,95,.337,3,20,.150,12,17,.706,20,33,53,19,7,5,11,20,79,0,0
201212050CLE,240,31,85,.365,5,16,.313,18,25,.720,14,27,41,15,8,2,10,18,85,1,0
201212070MIN,240,30,87,.345,7,24,.292,6,9,.667,11,30,41,15,15,2,18,24,73,0,0
201212080CLE,240,39,91,.429,6,27,.222,13,17,.765,20,26,46,19,3,8,14,27,97,1,0
201212110CLE,240,37,84,.440,11,27,.407,15,26,.577,8,35,43,24,8,4,12,26,100,1,1
201212120IND,240,27,81,.333,9,22,.409,18,25,.720,13,27,40,19,7,6,12,28,81,0,0
201212140CLE,240,32,81,.395,9,18,.500,13,14,.929,15,31,46,21,11,4,24,22,86,1,0
201212150NYK,240,40,82,.488,9,24,.375,13,17,.765,9,36,45,15,5,0,12,23,102,0,0
201212180CLE,240,36,70,.514,7,16,.438,20,30,.667,11,22,33,19,6,7,15,26,99,1,0
201212190BOS,240,36,88,.409,5,18,.278,14,21,.667,13,22,35,16,7,2,9,22,91,0,0
201212210CLE,240,32,80,.400,5,16,.313,20,26,.769,6,30,36,19,4,6,16,22,89,1,0
201212220MIL,240,38,88,.432,5,17,.294,13,16,.813,11,37,48,16,7,3,12,26,94,0,1
201212260WAS,240,31,82,.378,10,27,.370,15,23,.652,12,26,38,20,9,3,10,16,87,0,1
201212280CLE,240,36,86,.419,8,21,.381,14,14,1.000,10,30,40,19,11,4,11,16,94,1,0
