GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310PHO,240,32,80,.400,4,21,.190,17,22,.773,11,33,44,16,10,12,18,23,85,1,0
201211020PHO,240,40,92,.435,2,11,.182,10,14,.714,15,37,52,15,6,5,12,20,92,1,1
201211040ORL,240,39,91,.429,5,19,.263,11,18,.611,17,28,45,19,3,10,16,17,94,0,0
201211050MIA,240,35,88,.398,7,21,.333,22,29,.759,10,28,38,22,11,7,11,19,99,0,0
201211070CHA,240,43,93,.462,12,27,.444,19,28,.679,22,28,50,29,8,11,12,24,117,0,1
201211090PHO,240,38,81,.469,6,17,.353,25,33,.758,12,30,42,21,12,6,17,19,107,1,1
201211100UTA,240,32,87,.368,4,16,.250,13,17,.765,10,27,37,15,12,4,10,25,81,0,0
201211120PHO,240,43,94,.457,7,12,.583,17,21,.810,15,25,40,29,6,4,6,19,110,1,1
201211140PHO,265,42,105,.400,6,21,.286,16,17,.941,20,31,51,19,6,6,12,27,106,1,0
201211160LAL,240,45,92,.489,5,14,.357,7,15,.467,12,26,38,27,8,8,15,25,102,0,0
201211170PHO,240,34,79,.430,5,18,.278,15,21,.714,9,29,38,16,13,3,16,18,88,1,0
201211210PHO,240,46,77,.597,7,17,.412,15,18,.833,7,28,35,22,12,3,13,18,114,1,1
201211230PHO,265,44,90,.489,11,25,.440,12,19,.632,10,25,35,28,10,5,10,19,111,1,1
201211250PHI,240,39,83,.470,4,11,.364,19,20,.950,9,32,41,24,3,5,12,23,101,0,0
201211270CLE,240,37,79,.468,6,17,.353,11,18,.611,7,32,39,22,10,8,15,19,91,0,1
201211280DET,240,28,82,.341,6,21,.286,15,20,.750,13,26,39,11,7,5,19,23,77,0,0
201211300TOR,240,37,77,.481,6,16,.375,17,19,.895,4,30,34,28,6,8,14,20,97,0,0
201212020NYK,240,39,80,.488,8,23,.348,13,19,.684,11,34,45,21,5,0,17,23,99,0,0
