GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310NOH,240,35,80,.438,4,17,.235,21,23,.913,9,34,43,26,7,6,13,20,95,1,0
201211020NOH,240,37,81,.457,5,14,.357,9,14,.643,12,30,42,23,7,4,12,16,88,1,1
201211030CHI,240,32,75,.427,5,18,.278,20,23,.870,9,35,44,13,7,9,16,21,89,0,1
201211070NOH,240,23,69,.333,4,19,.211,12,16,.750,11,36,47,18,8,9,20,12,62,1,0
201211090NOH,240,43,83,.518,8,22,.364,13,21,.619,13,27,40,29,5,7,9,15,107,1,1
201211140HOU,240,34,84,.405,8,24,.333,20,21,.952,9,29,38,17,6,8,10,16,96,0,0
201211160NOH,240,33,78,.423,7,12,.583,22,28,.786,15,25,40,23,7,4,11,20,95,1,0
201211170MIL,240,41,77,.532,10,21,.476,21,22,.955,8,28,36,32,4,2,19,26,113,0,0
201211200NOH,240,29,69,.420,8,18,.444,14,21,.667,5,31,36,16,2,3,13,21,80,1,0
201211210IND,265,39,92,.424,6,10,.600,23,27,.852,16,32,48,17,3,7,9,26,107,0,0
201211230PHO,265,40,78,.513,13,26,.500,15,18,.833,6,35,41,27,8,6,18,24,108,0,0
201211250DEN,240,33,85,.388,6,13,.462,12,20,.600,15,25,40,23,6,6,14,18,84,0,0
201211260LAC,240,36,71,.507,15,25,.600,18,23,.783,7,29,36,23,6,3,15,19,105,0,1
201211280NOH,240,31,73,.425,5,21,.238,17,21,.810,12,26,38,15,4,1,19,27,84,1,0
201212010NOH,240,30,81,.370,6,24,.250,13,18,.722,16,27,43,18,7,5,15,16,79,1,0
201212030NOH,240,43,82,.524,5,12,.417,11,11,1.000,13,24,37,29,11,2,8,23,102,1,1
201212050NOH,240,35,85,.412,7,19,.368,10,18,.556,12,34,46,22,2,7,12,20,87,1,0
201212070NOH,240,36,75,.480,8,16,.500,9,12,.750,5,24,29,22,9,8,12,16,89,1,0
