GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201211020ATL,240,40,85,.471,7,22,.318,15,17,.882,7,29,36,23,12,4,13,26,102,1,0
201211040OKC,240,41,83,.494,8,25,.320,14,20,.700,12,26,38,20,12,1,10,20,104,0,1
201211070ATL,240,38,87,.437,7,22,.318,6,12,.500,17,34,51,24,8,3,17,15,89,1,1
201211090ATL,240,34,81,.420,9,25,.360,12,16,.750,7,29,36,20,4,5,13,16,89,1,0
201211110LAC,240,30,72,.417,9,25,.360,7,16,.438,10,31,41,20,3,9,22,12,76,0,0
201211120POR,240,35,79,.443,7,18,.389,18,22,.818,6,35,41,20,14,4,16,22,95,0,1
201211140GSW,240,34,78,.436,7,23,.304,13,18,.722,5,24,29,21,11,4,12,18,88,0,0
201211160SAC,240,42,76,.553,8,15,.533,20,27,.741,10,32,42,24,8,5,15,14,112,0,1
201211190ATL,240,34,89,.382,5,25,.200,8,13,.615,11,37,48,18,12,4,13,18,81,1,1
201211210ATL,265,40,92,.435,9,25,.360,12,21,.571,10,27,37,30,12,5,13,25,101,1,1
201211230CHA,240,42,78,.538,11,22,.500,6,14,.429,7,34,41,29,6,15,21,18,101,0,1
201211240ATL,240,38,75,.507,7,17,.412,21,26,.808,8,31,39,26,5,2,18,18,104,1,1
201211280ATL,240,36,90,.400,12,32,.375,10,15,.667,15,29,44,28,9,9,9,18,94,1,1
201211300ATL,240,38,78,.487,12,20,.600,23,32,.719,10,18,28,25,12,5,12,18,111,1,0
201212050ATL,240,42,95,.442,8,22,.364,16,19,.842,19,28,47,24,13,5,14,19,108,1,1
201212070ATL,240,41,85,.482,10,26,.385,12,19,.632,15,32,47,23,7,1,14,19,104,1,1
201212080MEM,240,34,77,.442,7,17,.412,18,25,.720,14,30,44,20,10,3,14,16,93,0,1
201212100MIA,240,32,75,.427,9,28,.321,19,20,.950,8,24,32,16,8,1,14,16,92,0,0
201212120ORL,240,35,80,.438,6,22,.273,10,16,.625,8,35,43,16,11,6,14,11,86,0,1
201212130ATL,240,43,75,.573,14,29,.483,13,23,.565,7,34,41,28,8,3,13,14,113,1,1
201212150ATL,240,31,84,.369,5,26,.192,26,36,.722,10,35,45,21,6,3,11,15,93,1,0
201212180WAS,265,34,78,.436,9,24,.375,23,34,.676,9,40,49,20,10,9,15,20,100,0,1
201212190ATL,240,36,94,.383,9,24,.375,11,17,.647,14,30,44,21,11,6,11,19,92,1,0
201212210PHI,240,31,79,.392,9,25,.360,9,12,.750,13,24,37,20,7,3,17,15,80,0,0
201212220ATL,240,38,77,.494,7,19,.368,9,10,.900,12,33,45,24,7,4,16,9,92,1,1
201212260ATL,290,46,98,.469,11,33,.333,23,31,.742,8,39,47,35,11,6,10,18,126,1,1
