GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201211020NYK,240,36,84,.429,19,36,.528,13,15,.867,13,28,41,27,10,0,12,22,104,1,1
201211040NYK,240,39,77,.506,11,27,.407,11,18,.611,8,31,39,18,12,5,14,10,100,1,1
201211050PHI,240,39,84,.464,13,32,.406,19,19,1.000,9,35,44,24,7,5,7,17,110,0,1
201211090NYK,240,35,84,.417,8,22,.364,26,38,.684,11,32,43,17,12,4,9,21,104,1,1
201211130ORL,240,41,84,.488,9,24,.375,8,11,.727,6,25,31,15,11,1,9,14,99,0,1
201211150SAS,240,39,86,.453,11,26,.423,15,23,.652,10,31,41,17,6,6,7,19,104,0,1
201211160MEM,240,37,72,.514,5,19,.263,16,21,.762,10,24,34,18,7,6,13,26,95,0,0
201211180NYK,240,33,90,.367,7,25,.280,15,19,.789,15,33,48,19,9,4,8,15,88,1,1
201211200NOH,240,37,83,.446,14,36,.389,14,19,.737,13,36,49,19,6,3,10,20,102,0,1
201211210DAL,240,39,77,.506,15,31,.484,18,22,.818,5,32,37,25,10,2,14,17,111,0,0
201211230HOU,240,37,86,.430,17,39,.436,12,14,.857,6,24,30,22,8,9,15,21,103,0,0
201211250NYK,240,38,79,.481,17,33,.515,28,31,.903,10,27,37,24,13,4,11,19,121,1,1
201211260BRK,265,33,85,.388,6,21,.286,17,24,.708,17,33,50,14,9,2,14,24,89,0,0
201211280MIL,240,35,73,.479,11,21,.524,21,25,.840,8,30,38,18,11,1,14,20,102,0,1
201211300NYK,240,43,81,.531,12,29,.414,10,15,.667,3,29,32,24,7,1,8,20,108,1,1
201212020NYK,240,40,90,.444,12,29,.414,14,17,.824,16,27,43,21,7,5,7,13,106,1,1
201212050CHA,240,39,92,.424,13,41,.317,9,13,.692,10,26,36,23,9,8,8,18,100,0,1
201212060MIA,240,41,91,.451,18,44,.409,12,19,.632,11,35,46,20,9,4,7,19,112,0,1
201212080CHI,240,27,84,.321,8,23,.348,23,28,.821,14,26,40,14,10,6,15,17,85,0,0
201212090NYK,240,37,86,.430,12,30,.400,26,37,.703,13,26,39,20,9,2,9,22,112,1,1
201212110BRK,240,36,78,.462,14,28,.500,14,18,.778,10,25,35,20,5,2,10,21,100,0,1
201212130NYK,240,42,79,.532,12,25,.480,20,30,.667,4,29,33,25,10,2,6,20,116,1,1
201212150NYK,240,37,85,.435,13,35,.371,16,23,.696,13,28,41,26,5,6,9,18,103,1,1
201212170NYK,240,39,90,.433,9,31,.290,9,16,.563,13,32,45,15,8,2,17,18,96,1,0
201212190NYK,240,38,83,.458,11,29,.379,13,17,.765,11,28,39,19,7,5,7,11,100,1,1
201212210NYK,240,38,91,.418,8,26,.308,22,25,.880,10,30,40,14,11,3,10,25,106,1,0
201212230NYK,240,32,72,.444,6,26,.231,24,28,.857,4,31,35,17,11,2,14,20,94,1,1
201212250LAL,240,38,89,.427,9,26,.346,9,16,.563,11,29,40,20,9,3,10,25,94,0,0
201212260PHO,240,40,88,.455,9,22,.409,10,14,.714,9,32,41,21,8,6,11,17,99,0,1
201212280SAC,240,41,83,.494,11,30,.367,12,20,.600,18,28,46,26,4,8,17,16,105,0,0
201301010NYK,240,36,84,.429,10,37,.270,18,24,.750,13,24,37,18,9,2,10,19,100,1,0
201301030NYK,240,39,82,.476,12,27,.444,10,16,.625,10,38,48,26,10,5,12,18,100,1,1
201301050ORL,240,42,88,.477,12,33,.364,18,22,.818,9,31,40,24,7,1,8,19,114,0,1
201301070NYK,240,31,76,.408,14,32,.438,20,26,.769,14,28,42,19,7,3,13,21,96,1,0
201301100IND,240,31,89,.348,4,20,.200,10,13,.769,19,32,51,14,2,7,12,18,76,0,0
201301110NYK,240,37,90,.411,11,22,.500,16,23,.696,18,23,41,17,11,3,12,28,101,1,0
201301130NYK,240,35,81,.432,11,30,.367,19,25,.760,10,35,45,24,6,5,9,21,100,1,1
201301170DET,240,33,72,.458,11,31,.355,25,31,.806,10,34,44,17,9,5,16,22,102,0,1
201301210NYK,240,34,84,.405,6,21,.286,11,17,.647,7,30,37,14,11,2,5,20,85,1,0
201301240BOS,240,32,83,.386,8,28,.286,17,20,.850,11,38,49,12,7,5,10,23,89,0,1
201301260PHI,240,28,81,.346,4,27,.148,20,23,.870,15,32,47,17,6,4,16,17,80,0,0
201301270NYK,240,39,72,.542,16,27,.593,12,17,.706,6,20,26,22,6,3,14,17,106,1,1
201301300NYK,240,47,82,.573,14,34,.412,5,8,.625,10,26,36,30,4,4,9,18,113,1,1
201302010NYK,240,32,76,.421,13,35,.371,19,26,.731,14,36,50,17,5,4,15,15,96,1,1
201302020NYK,240,47,86,.547,19,43,.442,7,13,.538,15,37,52,34,8,1,17,19,120,1,1
201302040NYK,240,36,79,.456,14,34,.412,13,16,.813,14,32,46,22,6,2,15,16,99,1,1
201302060WAS,240,34,84,.405,9,28,.321,19,23,.826,12,29,41,14,5,3,9,12,96,0,0
201302080MIN,240,38,81,.469,8,26,.308,16,20,.800,10,32,42,19,5,6,8,19,100,0,1
201302100NYK,240,33,74,.446,7,23,.304,15,18,.833,10,25,35,11,10,3,16,18,88,1,0
201302130NYK,240,28,79,.354,9,25,.360,23,32,.719,20,32,52,12,7,2,11,21,88,1,0
201302200IND,240,29,86,.337,5,28,.179,28,36,.778,13,26,39,17,13,3,15,29,91,0,0
201302220TOR,240,35,75,.467,10,28,.357,18,23,.783,10,32,42,19,5,8,16,28,98,0,0
201302240NYK,240,32,75,.427,8,33,.242,27,35,.771,11,37,48,17,7,3,12,18,99,1,1
201302270NYK,240,36,87,.414,11,34,.324,26,33,.788,16,30,46,19,12,3,10,23,109,1,1
201303010WAS,240,35,81,.432,8,28,.286,18,21,.857,9,32,41,18,8,3,12,23,96,0,1
201303030NYK,240,32,74,.432,8,29,.276,21,26,.808,9,31,40,18,9,4,17,19,93,1,0
201303040CLE,240,36,78,.462,12,30,.400,18,21,.857,12,28,40,23,9,5,16,18,102,0,1
201303060DET,240,31,75,.413,13,35,.371,12,15,.800,14,34,48,23,11,5,20,15,87,0,1
201303070NYK,240,35,86,.407,10,31,.323,14,14,1.000,12,26,38,10,10,3,13,21,94,1,0
201303090NYK,240,38,75,.507,13,32,.406,24,30,.800,8,31,39,21,11,3,12,19,113,1,1
201303110GSW,240,20,73,.274,5,27,.185,18,28,.643,11,31,42,12,7,2,13,27,63,0,0
201303130DEN,240,34,79,.430,11,28,.393,15,22,.682,7,26,33,22,7,9,19,25,94,0,0
201303140POR,240,36,82,.439,7,25,.280,11,17,.647,11,29,40,20,10,2,12,21,90,0,0
201303170LAC,240,29,81,.358,12,26,.462,10,14,.714,7,32,39,21,7,1,9,27,80,0,0
201303180UTA,240,32,69,.464,8,23,.348,18,25,.720,8,26,34,18,9,5,12,21,90,0,1
201303200NYK,240,40,76,.526,15,34,.441,11,16,.688,10,24,34,20,8,2,11,18,106,1,1
201303220TOR,240,38,71,.535,10,22,.455,13,24,.542,9,31,40,16,8,5,13,24,99,0,1
201303230NYK,240,41,79,.519,7,19,.368,21,23,.913,11,33,44,20,14,3,11,20,110,1,1
201303260BOS,240,39,90,.433,8,28,.286,14,18,.778,15,26,41,11,12,3,8,24,100,0,1
201303270NYK,240,38,74,.514,13,31,.419,19,22,.864,7,24,31,18,9,2,11,25,108,1,1
201303290NYK,240,38,77,.494,9,19,.474,26,30,.867,12,25,37,14,8,4,13,27,111,1,1
201303310NYK,240,35,72,.486,14,27,.519,24,31,.774,10,31,41,23,7,1,11,22,108,1,1
201304020MIA,240,37,71,.521,14,27,.519,14,20,.700,6,18,24,17,8,3,13,25,102,0,1
201304030ATL,240,40,77,.519,7,22,.318,8,12,.667,8,30,38,16,7,0,11,20,95,0,1
201304050NYK,240,41,89,.461,12,36,.333,7,8,.875,12,38,50,17,6,2,9,18,101,1,1
201304070OKC,240,46,93,.495,15,34,.441,18,24,.750,19,22,41,22,5,4,6,19,125,0,1
201304090NYK,240,45,80,.563,20,36,.556,10,14,.714,5,34,39,26,7,3,12,24,120,1,1
201304110CHI,265,42,104,.404,10,30,.333,17,22,.773,12,40,52,18,2,5,7,28,111,0,0
201304120CLE,240,40,79,.506,10,28,.357,11,17,.647,11,33,44,15,11,5,14,21,101,0,1
201304140NYK,240,35,82,.427,11,31,.355,9,11,.818,8,24,32,15,11,2,11,24,90,1,1
201304150CHA,240,34,79,.430,14,37,.378,13,13,1.000,3,22,25,27,5,1,8,15,95,0,0
201304170NYK,240,39,91,.429,9,24,.375,11,16,.688,16,34,50,21,8,3,12,16,98,1,1
