GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210300MIA,240,43,79,.544,8,16,.500,26,32,.813,5,31,36,25,8,5,8,20,120,1,1
201211020NYK,240,33,71,.465,7,20,.350,11,13,.846,7,34,41,18,4,5,21,18,84,0,0
201211030MIA,240,43,83,.518,10,25,.400,23,27,.852,7,25,32,26,9,8,8,16,119,1,1
201211050MIA,240,47,86,.547,15,26,.577,15,19,.789,7,42,49,33,7,4,15,22,124,1,1
201211070MIA,240,40,77,.519,10,24,.417,13,16,.813,8,32,40,25,8,5,12,18,103,1,1
201211090ATL,240,37,76,.487,7,22,.318,14,16,.875,8,28,36,22,8,2,14,22,95,0,1
201211110MEM,240,30,79,.380,4,15,.267,22,36,.611,15,28,43,18,8,6,13,16,86,0,0
201211120HOU,240,45,89,.506,10,21,.476,13,20,.650,13,31,44,26,4,4,11,24,113,0,1
201211140LAC,240,35,77,.455,9,21,.429,21,29,.724,11,25,36,22,11,6,19,25,100,0,0
201211150DEN,240,36,77,.468,13,27,.481,13,16,.813,5,24,29,24,5,9,11,14,98,0,1
201211170PHO,240,38,71,.535,8,19,.421,13,19,.684,4,32,36,20,10,3,19,21,97,0,1
201211210MIA,265,41,86,.477,8,18,.444,23,33,.697,12,42,54,25,7,4,15,13,113,1,1
201211240MIA,240,36,69,.522,9,19,.474,29,37,.784,9,30,39,21,5,5,18,25,110,1,1
201211290MIA,240,42,86,.488,5,13,.385,16,19,.842,7,30,37,22,11,2,10,18,105,1,1
201212010MIA,240,40,78,.513,7,20,.350,15,19,.789,8,27,35,20,12,3,10,25,102,1,1
201212040WAS,240,41,89,.461,8,28,.286,11,16,.688,12,31,43,27,6,2,12,20,101,0,0
201212060MIA,240,32,76,.421,6,16,.375,22,28,.786,7,36,43,17,7,4,14,21,92,1,0
201212080MIA,240,40,69,.580,7,11,.636,19,24,.792,2,31,33,23,12,7,16,18,106,1,1
201212100MIA,240,39,67,.582,9,21,.429,14,22,.636,2,30,32,23,10,3,14,18,101,1,1
201212120MIA,240,38,80,.475,7,22,.318,12,15,.800,6,32,38,18,6,3,17,13,95,1,0
201212150MIA,240,40,79,.506,8,27,.296,14,21,.667,11,32,43,25,9,2,12,15,102,1,1
201212180MIA,240,36,77,.468,13,25,.520,18,23,.783,6,18,24,25,12,14,8,18,103,1,1
201212200DAL,240,42,78,.538,10,28,.357,16,18,.889,8,39,47,25,8,4,18,14,110,0,1
201212220MIA,240,38,73,.521,11,24,.458,18,22,.818,6,33,39,23,12,5,16,19,105,1,1
201212250MIA,240,38,80,.475,8,28,.286,19,19,1.000,9,25,34,20,6,5,13,26,103,1,1
201212260CHA,240,37,81,.457,12,23,.522,19,25,.760,9,35,44,21,9,5,13,25,105,0,1
201212280DET,240,39,77,.506,9,29,.310,12,16,.750,10,25,35,18,6,5,14,16,99,0,0
201212290MIL,240,33,76,.434,4,13,.308,15,24,.625,13,38,51,18,3,5,20,17,85,0,0
201212310ORL,265,40,85,.471,6,21,.286,26,35,.743,9,24,33,24,9,3,7,17,112,0,1
201301020MIA,265,42,89,.472,10,26,.385,25,31,.806,7,39,46,21,12,8,9,16,119,1,1
201301040MIA,240,30,65,.462,5,20,.250,24,31,.774,4,24,28,17,8,2,12,22,89,1,0
201301060MIA,240,38,82,.463,8,21,.381,15,16,.938,10,40,50,20,6,8,9,12,99,1,1
201301080IND,240,28,68,.412,8,19,.421,13,18,.722,7,29,36,13,5,10,14,21,77,0,0
201301100POR,240,35,77,.455,6,19,.316,14,20,.700,8,37,45,20,9,6,17,21,90,0,0
201301120SAC,240,45,80,.563,17,37,.459,21,24,.875,10,26,36,35,11,11,10,19,128,0,1
201301140UTA,240,39,72,.542,9,23,.391,10,16,.625,5,18,23,25,8,4,14,24,97,0,0
201301160GSW,240,36,90,.400,8,29,.276,12,18,.667,13,38,51,24,11,5,11,22,92,0,1
201301170LAL,240,40,83,.482,2,13,.154,17,23,.739,4,31,35,22,14,2,6,27,99,0,1
201301230MIA,265,45,82,.549,9,22,.409,24,38,.632,16,37,53,26,5,3,13,21,123,1,1
201301250MIA,240,43,77,.558,5,17,.294,19,23,.826,9,27,36,24,12,4,12,17,110,1,1
201301270BOS,290,39,96,.406,5,23,.217,15,20,.750,17,36,53,19,6,6,20,27,98,0,0
201301300BRK,240,43,83,.518,11,19,.579,8,14,.571,13,25,38,21,10,3,13,20,105,0,1
201302010IND,240,33,70,.471,5,14,.357,18,24,.750,6,19,25,21,7,6,11,22,89,0,0
201302030TOR,240,40,75,.533,3,12,.250,17,23,.739,7,27,34,19,10,4,12,23,100,0,1
201302040MIA,240,41,81,.506,1,12,.083,16,24,.667,12,27,39,23,6,5,11,18,99,1,1
201302060MIA,240,40,82,.488,10,23,.435,24,28,.857,8,30,38,23,9,6,10,16,114,1,1
201302080MIA,240,36,68,.529,15,27,.556,24,32,.750,8,28,36,22,11,4,13,21,111,1,1
201302100MIA,240,44,80,.550,6,16,.375,13,14,.929,10,28,38,19,10,6,11,27,107,1,1
201302120MIA,240,43,74,.581,8,19,.421,23,27,.852,10,22,32,22,9,7,9,21,117,1,1
201302140OKC,240,41,88,.466,11,29,.379,17,22,.773,13,33,46,23,10,4,14,29,110,0,1
201302200ATL,240,37,78,.474,10,23,.435,19,25,.760,5,28,33,23,11,1,11,15,103,0,1
201302210CHI,240,37,73,.507,3,13,.231,9,14,.643,8,28,36,20,14,6,17,15,86,0,1
201302230PHI,240,45,77,.584,9,21,.429,15,18,.833,5,32,37,27,9,2,6,10,114,0,1
201302240MIA,240,39,75,.520,12,19,.632,19,24,.792,6,28,34,23,8,9,11,17,109,1,1
201302260MIA,290,56,101,.554,10,23,.435,19,24,.792,8,33,41,35,13,9,12,22,141,1,1
201303010MIA,240,34,73,.466,10,19,.526,20,27,.741,5,30,35,26,7,3,7,19,98,1,1
201303030NYK,240,39,84,.464,8,20,.400,13,19,.684,10,31,41,20,10,4,14,20,99,0,1
201303040MIN,240,38,74,.514,5,21,.238,16,19,.842,9,39,48,22,11,5,23,15,97,0,1
201303060MIA,240,32,74,.432,6,28,.214,27,31,.871,7,26,33,20,11,7,14,17,97,1,1
201303080MIA,240,42,79,.532,8,21,.381,10,13,.769,10,29,39,23,10,7,15,9,102,1,1
201303100MIA,240,38,68,.559,7,14,.500,22,31,.710,4,24,28,20,10,5,12,29,105,1,1
201303120MIA,240,35,82,.427,6,20,.300,22,30,.733,14,31,45,27,14,4,14,14,98,1,1
201303130PHI,240,35,75,.467,5,20,.250,23,27,.852,10,29,39,25,7,6,13,10,98,0,1
201303150MIL,240,41,79,.519,7,15,.467,18,22,.818,8,33,41,24,7,5,11,13,107,0,1
201303170TOR,240,39,67,.582,10,22,.455,20,29,.690,2,24,26,31,8,2,12,14,108,0,1
201303180BOS,240,42,85,.494,7,20,.350,14,21,.667,10,29,39,25,11,7,14,18,105,0,1
201303200CLE,240,32,72,.444,12,29,.414,22,30,.733,11,23,34,21,9,6,13,20,98,0,1
201303220MIA,240,38,68,.559,8,15,.533,19,26,.731,4,29,33,21,15,6,18,14,103,1,1
201303240MIA,240,38,76,.500,13,30,.433,20,23,.870,4,44,48,28,9,10,10,16,109,1,1
201303250ORL,240,37,78,.474,15,28,.536,19,29,.655,11,33,44,31,7,6,12,14,108,0,1
201303270CHI,240,37,77,.481,7,20,.350,16,23,.696,6,25,31,15,11,12,13,17,97,0,0
201303290NOH,240,42,69,.609,14,27,.519,10,16,.625,3,24,27,30,11,3,13,19,108,0,1
201303310SAS,240,33,71,.465,12,28,.429,10,15,.667,3,30,33,23,7,8,10,15,88,0,1
201304020MIA,240,30,60,.500,8,20,.400,22,27,.815,7,25,32,18,7,3,19,19,90,1,0
201304050CHA,240,31,69,.449,13,33,.394,14,17,.824,11,30,41,26,6,8,20,17,89,0,1
201304060MIA,240,40,83,.482,14,25,.560,12,14,.857,11,37,48,25,5,3,9,16,106,1,1
201304090MIA,240,38,88,.432,8,35,.229,10,10,1.000,14,35,49,22,12,3,17,13,94,1,1
201304100WAS,240,33,75,.440,17,41,.415,20,23,.870,12,35,47,19,7,6,22,18,103,0,1
201304120MIA,240,39,71,.549,12,23,.522,19,28,.679,5,32,37,28,6,5,14,14,109,1,1
201304140MIA,240,36,70,.514,6,17,.353,27,41,.659,4,40,44,23,7,8,15,27,105,1,1
201304150CLE,240,33,66,.500,13,28,.464,17,27,.630,10,35,45,25,2,8,17,19,96,0,1
201304170MIA,240,42,78,.538,12,29,.414,9,19,.474,6,28,34,31,7,12,11,18,105,1,1
