GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310DET,240,35,79,.443,6,16,.375,20,26,.769,10,26,36,21,12,4,16,15,96,1,0
201211020PHO,240,37,90,.411,4,13,.308,11,19,.579,10,29,39,20,2,5,9,19,89,0,0
201211040LAL,240,28,79,.354,4,13,.308,19,23,.826,13,20,33,19,5,5,16,20,79,0,0
201211060DEN,240,35,78,.449,6,12,.500,21,25,.840,8,27,35,26,6,9,13,19,97,0,0
201211070SAC,240,36,73,.493,8,22,.364,23,31,.742,10,23,33,23,4,6,17,20,103,0,0
201211090OKC,240,36,87,.414,6,19,.316,16,22,.727,16,25,41,24,8,4,15,19,94,0,0
201211100HOU,240,32,80,.400,7,20,.350,11,16,.688,11,34,45,17,8,9,16,16,82,0,0
201211120DET,240,33,83,.398,6,17,.353,18,27,.667,13,26,39,22,8,7,11,28,90,1,0
201211140PHI,240,35,73,.479,3,7,.429,21,31,.677,12,45,57,27,3,7,17,25,94,0,1
201211160DET,240,44,82,.537,2,8,.250,16,20,.800,6,24,30,21,8,4,14,18,106,1,0
201211180DET,240,39,72,.542,4,11,.364,21,26,.808,7,32,39,23,8,1,16,22,103,1,1
201211210ORL,240,28,85,.329,3,17,.176,15,22,.682,13,35,48,15,5,2,14,16,74,0,0
201211230DET,240,36,78,.462,4,13,.308,15,26,.577,15,31,46,17,4,2,14,22,91,1,1
201211250NYK,240,37,78,.474,9,20,.450,17,22,.773,10,28,38,20,6,4,19,22,100,0,0
201211260DET,240,42,80,.525,9,15,.600,15,22,.682,12,35,47,26,6,5,16,25,108,1,1
201211280DET,240,40,76,.526,12,16,.750,25,35,.714,8,35,43,28,9,5,12,19,117,1,1
201211300MEM,240,29,72,.403,4,16,.250,16,20,.800,11,35,46,15,7,5,22,20,78,0,0
201212010DAL,240,29,85,.341,5,21,.238,14,18,.778,15,37,52,16,7,7,15,15,77,0,0
