GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310LAC,240,33,86,.384,2,14,.143,24,30,.800,17,27,44,24,14,4,18,25,92,0,0
201211020GSW,240,35,77,.455,6,13,.462,28,34,.824,9,31,40,22,9,4,13,22,104,0,1
201211050MEM,240,38,91,.418,5,14,.357,22,25,.880,14,37,51,21,9,10,11,17,103,1,1
201211070MIL,240,44,83,.530,6,16,.375,14,19,.737,11,38,49,28,7,5,14,20,108,0,1
201211090MEM,240,35,94,.372,6,19,.316,17,23,.739,18,22,40,16,14,8,9,16,93,1,1
201211110MEM,240,38,86,.442,14,24,.583,14,16,.875,11,32,43,26,8,4,14,22,104,1,1
201211140OKC,240,44,93,.473,7,17,.412,12,14,.857,12,27,39,22,6,3,8,23,107,0,1
201211160MEM,240,37,76,.487,5,15,.333,26,32,.813,12,23,35,15,7,6,14,24,105,1,1
201211170CHA,240,31,80,.388,2,14,.143,30,34,.882,12,32,44,17,10,7,14,23,94,0,1
201211190MEM,240,36,78,.462,6,17,.353,14,17,.824,12,21,33,23,10,4,17,20,92,1,0
201211230MEM,240,38,75,.507,6,11,.545,24,30,.800,13,26,39,23,10,3,15,26,106,1,1
201211260MEM,240,33,71,.465,4,11,.364,14,18,.778,10,23,33,16,8,5,14,15,84,1,1
201211280MEM,240,38,80,.475,8,18,.444,19,28,.679,12,34,46,28,10,7,12,19,103,1,1
201211300MEM,240,34,85,.400,4,12,.333,18,21,.857,11,28,39,20,11,5,12,22,90,1,1
201212010SAS,265,36,99,.364,4,15,.267,19,22,.864,18,34,52,25,10,4,19,24,95,0,0
201212040MEM,265,40,85,.471,4,19,.211,24,31,.774,15,35,50,13,11,9,19,22,108,1,1
201212070NOH,240,36,72,.500,8,17,.471,16,22,.727,11,35,46,23,9,6,16,17,96,0,1
201212080MEM,240,33,77,.429,6,16,.375,11,18,.611,11,29,40,15,8,5,16,19,83,1,0
201212120PHO,240,33,73,.452,2,10,.200,12,12,1.000,10,30,40,19,6,9,15,17,80,0,0
201212140DEN,240,39,94,.415,7,19,.368,9,10,.900,16,21,37,27,9,8,16,28,94,0,0
201212150UTA,240,38,85,.447,4,11,.364,19,24,.792,18,30,48,16,9,4,12,16,99,0,1
201212170MEM,240,30,80,.375,6,11,.545,14,19,.737,18,33,51,16,7,5,18,19,80,1,1
201212190MEM,240,36,88,.409,3,8,.375,15,19,.789,17,39,56,26,11,6,16,17,90,1,1
201212210MEM,240,36,89,.404,3,13,.231,17,20,.850,17,30,47,23,15,3,15,16,92,1,1
201212220HOU,240,42,79,.532,2,13,.154,10,14,.714,8,29,37,23,7,5,19,19,96,0,0
201212260MEM,240,35,90,.389,5,15,.333,14,17,.824,15,22,37,22,10,4,13,18,89,1,0
201212290MEM,240,36,89,.404,5,19,.263,4,7,.571,17,32,49,19,9,6,8,17,81,1,1
201212310IND,240,31,82,.378,3,11,.273,18,24,.750,18,26,44,17,10,5,16,22,83,0,0
201301020BOS,240,34,71,.479,8,18,.444,17,22,.773,8,31,39,23,8,3,13,17,93,0,1
201301040MEM,240,32,81,.395,2,5,.400,18,18,1.000,16,29,45,13,10,9,14,18,84,1,0
201301060PHO,240,37,69,.536,2,8,.250,16,20,.800,7,35,42,22,12,4,17,19,92,0,1
201301070SAC,240,39,80,.488,11,20,.550,24,27,.889,11,33,44,29,8,6,8,24,113,0,1
201301090GSW,240,40,88,.455,2,17,.118,12,16,.750,13,30,43,27,11,2,10,17,94,0,1
201301110MEM,265,40,85,.471,3,12,.250,18,21,.857,9,26,35,19,10,4,14,21,101,1,1
201301120DAL,240,32,84,.381,3,8,.375,16,26,.615,14,27,41,19,6,5,7,15,83,0,0
201301140MEM,240,27,89,.303,6,20,.300,13,17,.765,24,24,48,14,8,3,14,26,73,1,0
201301160SAS,240,29,69,.420,1,9,.111,23,28,.821,6,26,32,11,4,3,13,16,82,0,0
201301180MEM,240,34,78,.436,3,7,.429,14,20,.700,15,33,48,21,8,10,16,16,85,1,1
201301190CHI,265,34,84,.405,0,5,.000,17,28,.607,17,31,48,15,8,8,12,22,85,0,1
201301210MEM,240,35,83,.422,4,10,.400,7,7,1.000,14,21,35,16,10,2,15,12,81,1,0
201301230MEM,240,47,96,.490,4,13,.308,8,10,.800,16,36,52,22,7,8,12,28,106,1,1
201301250MEM,240,47,90,.522,4,9,.444,3,8,.375,15,30,45,25,6,3,12,21,101,1,1
201301270MEM,240,32,88,.364,3,16,.188,16,18,.889,22,25,47,18,10,7,15,17,83,1,0
201301280PHI,240,40,73,.548,8,13,.615,15,19,.789,9,29,38,26,6,4,17,15,103,0,1
201301310OKC,240,34,98,.347,6,25,.240,15,19,.789,21,27,48,19,12,2,13,23,89,0,0
201302010MEM,240,35,78,.449,1,7,.143,14,17,.824,12,34,46,22,9,6,18,12,85,1,1
201302050MEM,240,36,82,.439,3,9,.333,15,17,.882,14,20,34,15,7,0,16,20,90,1,0
201302060ATL,240,38,84,.452,5,12,.417,11,16,.688,9,29,38,28,6,4,8,19,92,0,0
201302080MEM,240,36,79,.456,8,20,.400,19,23,.826,9,34,43,26,6,4,12,22,99,1,1
201302100MEM,240,41,79,.519,6,13,.462,17,22,.773,13,23,36,30,12,4,13,24,105,1,1
201302120MEM,240,41,75,.547,6,13,.462,20,24,.833,7,32,39,21,5,4,19,22,108,1,1
201302190DET,240,45,80,.563,3,9,.333,12,20,.600,12,32,44,29,14,7,16,20,105,0,1
201302200TOR,240,29,80,.363,6,13,.462,24,34,.706,20,29,49,20,7,7,10,23,88,0,1
201302220MEM,240,34,76,.447,3,16,.188,17,29,.586,14,38,52,24,8,6,14,15,88,1,1
201302240BRK,240,32,71,.451,2,7,.286,10,12,.833,7,28,35,16,6,11,11,19,76,0,1
201302270MEM,240,29,78,.372,5,14,.357,27,34,.794,11,35,46,21,11,2,15,23,90,1,1
201303010MIA,240,33,77,.429,4,13,.308,21,27,.778,10,28,38,23,4,3,12,24,91,0,0
201303030ORL,240,44,83,.530,11,24,.458,9,15,.600,14,28,42,31,8,5,13,19,108,0,1
201303060MEM,240,38,87,.437,4,12,.333,11,18,.611,16,36,52,20,5,6,9,22,91,1,1
201303080CLE,240,45,86,.523,4,11,.364,9,11,.818,9,28,37,30,10,6,12,15,103,0,1
201303090MEM,240,38,81,.469,4,13,.308,16,20,.800,14,29,43,21,7,11,10,16,96,1,1
201303120POR,240,39,76,.513,3,11,.273,21,31,.677,9,28,37,31,10,7,11,24,102,0,1
201303130LAC,240,37,68,.544,6,12,.500,16,21,.762,10,21,31,20,8,3,12,25,96,0,1
