GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310PHI,240,30,85,.353,7,25,.280,17,21,.810,14,33,47,18,13,11,15,14,84,1,1
201211040NYK,240,34,79,.430,8,17,.471,8,10,.800,10,31,41,14,8,2,18,18,84,0,0
201211050PHI,240,29,86,.337,8,22,.364,22,26,.846,19,35,54,19,3,2,13,19,88,1,0
201211070NOH,240,35,84,.417,4,22,.182,3,5,.600,9,34,43,19,5,6,15,16,77,0,1
201211090BOS,240,40,82,.488,7,13,.538,19,23,.826,8,30,38,27,12,7,16,22,106,0,1
201211100TOR,240,34,73,.466,6,14,.429,19,25,.760,9,37,46,21,8,4,15,19,93,0,1
201211120PHI,240,37,85,.435,10,24,.417,12,16,.750,4,27,31,22,13,3,15,14,96,1,0
201211140PHI,240,25,84,.298,5,16,.313,21,32,.656,11,27,38,15,10,4,4,21,76,1,0
201211160PHI,240,40,87,.460,10,18,.556,9,10,.900,11,32,43,20,5,7,10,19,99,1,1
201211180PHI,240,34,80,.425,9,20,.450,9,12,.750,9,32,41,27,8,9,11,15,86,1,1
201211200PHI,240,40,85,.471,9,24,.375,17,19,.895,9,32,41,25,6,10,8,23,106,1,1
201211210CLE,240,31,86,.360,4,17,.235,17,22,.773,11,28,39,18,12,11,7,16,83,0,0
201211240PHI,265,45,91,.495,7,20,.350,12,17,.706,12,31,43,31,7,4,15,28,109,1,0
201211250PHI,240,39,81,.481,9,19,.474,17,23,.739,6,27,33,23,4,4,8,18,104,1,1
201211270PHI,240,35,75,.467,6,14,.429,24,32,.750,13,27,40,22,9,3,17,25,100,1,1
201211300CHA,240,44,86,.512,8,17,.471,8,10,.800,13,26,39,26,5,6,10,18,104,0,1
201212010CHI,240,36,82,.439,3,12,.250,13,18,.722,11,26,37,17,10,5,11,19,88,0,0
201212040PHI,240,35,83,.422,5,20,.250,13,23,.565,13,27,40,24,9,2,13,15,88,1,0
201212070PHI,265,37,99,.374,2,11,.182,19,26,.731,17,37,54,19,12,4,9,26,95,1,1
201212080BOS,240,31,79,.392,4,17,.235,13,16,.813,12,24,36,16,4,3,8,19,79,0,0
201212100PHI,240,44,82,.537,4,11,.364,12,23,.522,13,32,45,23,8,7,11,25,104,1,1
201212120PHI,240,41,91,.451,2,14,.143,5,11,.455,14,30,44,19,5,8,13,24,89,1,0
201212140IND,240,35,81,.432,3,12,.250,12,16,.750,9,27,36,20,5,4,12,20,85,0,0
201212160PHI,240,41,83,.494,10,25,.400,6,11,.545,10,27,37,23,6,7,17,17,98,1,0
201212180DAL,240,37,86,.430,13,35,.371,13,15,.867,14,26,40,23,6,2,13,21,100,0,0
201212190HOU,240,40,89,.449,6,17,.353,17,24,.708,14,25,39,21,6,3,11,21,103,0,0
201212210PHI,240,44,86,.512,8,19,.421,3,7,.429,15,30,45,31,9,4,12,11,99,1,1
201212230BRK,240,38,88,.432,8,18,.444,8,10,.800,14,35,49,19,4,2,9,22,92,0,0
201212260MEM,240,37,71,.521,9,16,.563,16,23,.696,8,30,38,23,9,12,16,15,99,0,1
201212280GSW,240,35,87,.402,5,20,.250,14,23,.609,9,34,43,25,14,3,9,19,89,0,0
201212290POR,240,36,85,.424,4,17,.235,9,11,.818,14,31,45,19,5,3,13,14,85,0,0
201301010LAL,240,41,86,.477,8,22,.364,13,20,.650,6,45,51,27,6,7,10,22,103,0,1
201301020PHO,240,37,84,.440,5,14,.357,10,12,.833,10,34,44,21,7,3,16,18,89,0,0
201301040OKC,240,34,84,.405,11,24,.458,6,8,.750,12,28,40,21,8,4,20,19,85,0,0
201301050SAS,240,35,84,.417,3,17,.176,13,20,.650,5,36,41,19,10,7,14,17,86,0,0
201301080PHI,240,38,79,.481,7,17,.412,6,10,.600,7,25,32,24,3,3,13,16,89,1,0
201301090TOR,240,29,74,.392,2,10,.200,12,19,.632,9,28,37,15,3,6,13,14,72,0,0
201301120PHI,240,43,87,.494,6,18,.333,15,19,.789,8,35,43,26,8,5,11,18,107,1,1
201301150PHI,240,39,82,.476,11,21,.524,10,13,.769,10,22,32,28,5,2,13,21,99,1,0
201301180PHI,265,47,91,.516,4,19,.211,10,14,.714,10,29,39,30,6,6,11,19,108,1,1
201301210PHI,240,37,84,.440,4,14,.286,7,11,.636,7,35,42,25,6,6,16,16,85,1,0
