GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210300CLE,240,32,90,.356,8,32,.250,12,20,.600,18,21,39,26,11,10,12,19,84,0,0
201211030WAS,240,34,78,.436,6,20,.300,12,17,.706,7,39,46,20,7,4,15,14,86,1,0
201211070BOS,265,39,95,.411,10,29,.345,6,7,.857,10,34,44,25,8,6,19,27,94,0,0
201211090WAS,240,34,78,.436,4,18,.222,19,22,.864,10,26,36,23,13,4,20,24,91,1,0
201211100IND,240,35,79,.443,10,24,.417,5,7,.714,5,35,40,26,5,5,12,21,85,0,0
201211130CHA,240,25,84,.298,5,31,.161,21,32,.656,18,32,50,18,5,10,17,24,76,0,0
201211140DAL,240,39,81,.481,13,27,.481,10,11,.909,9,25,34,24,8,4,16,24,101,0,0
201211170WAS,240,31,85,.365,5,16,.313,9,12,.750,16,28,44,18,10,6,15,20,76,1,0
201211190WAS,240,31,87,.356,4,17,.235,23,31,.742,14,22,36,13,10,2,10,27,89,1,0
201211210ATL,265,38,89,.427,7,20,.350,17,24,.708,19,39,58,20,8,6,20,27,100,0,0
201211240WAS,290,34,93,.366,6,27,.222,32,39,.821,18,35,53,21,11,5,19,28,106,1,0
201211260WAS,240,37,90,.411,4,14,.286,14,17,.824,15,25,40,14,10,2,10,18,92,1,0
201211280WAS,240,31,71,.437,5,12,.417,17,19,.895,8,34,42,18,7,2,16,19,84,1,1
201211300NYK,240,35,78,.449,5,18,.278,12,21,.571,13,29,42,11,5,4,17,14,87,0,0
201212040WAS,240,38,79,.481,7,19,.368,22,29,.759,8,36,44,31,7,3,10,14,105,1,1
201212070ATL,240,36,79,.456,7,16,.438,16,20,.800,7,25,32,22,6,4,11,17,95,0,0
201212080WAS,240,37,87,.425,9,25,.360,14,23,.609,7,30,37,23,11,4,8,20,97,1,0
201212110NOH,240,27,82,.329,5,19,.263,18,23,.783,10,39,49,14,3,6,14,22,77,0,1
201212120HOU,240,35,89,.393,7,25,.280,16,20,.800,10,36,46,18,10,8,13,20,93,0,0
201212140WAS,240,36,83,.434,8,21,.381,16,20,.800,13,35,48,19,6,4,19,24,96,1,0
201212150MIA,240,27,72,.375,7,20,.350,11,15,.733,10,30,40,16,8,0,21,18,72,0,0
201212180WAS,265,36,95,.379,6,18,.333,17,22,.773,15,34,49,28,10,7,13,24,95,1,0
201212190ORL,240,34,77,.442,9,17,.529,6,8,.750,5,33,38,20,5,5,15,21,83,0,0
201212210DET,240,28,85,.329,2,12,.167,10,13,.769,12,34,46,15,4,4,12,20,68,0,0
201212220WAS,240,29,77,.377,4,21,.190,25,32,.781,10,33,43,20,7,3,11,18,87,1,0
201212260WAS,240,35,76,.461,4,18,.222,10,14,.714,12,39,51,22,4,6,20,21,84,1,0
201212280WAS,240,42,88,.477,6,20,.300,15,17,.882,11,36,47,25,6,8,10,14,105,1,1
201212290CHI,240,31,85,.365,3,10,.300,12,18,.667,16,40,56,19,2,4,16,16,77,0,0
201301010WAS,240,32,79,.405,10,26,.385,20,26,.769,12,32,44,23,3,4,14,23,94,1,0
201301020IND,240,35,83,.422,3,13,.231,8,10,.800,8,33,41,24,9,6,19,25,81,0,0
201301040WAS,290,43,91,.473,9,18,.500,18,31,.581,7,34,41,27,13,4,16,26,113,1,0
201301060MIA,240,29,81,.358,6,21,.286,7,14,.500,10,29,39,20,7,2,8,15,71,0,0
201301070WAS,240,38,87,.437,10,18,.556,15,18,.833,13,32,45,20,5,5,14,20,101,1,1
201301120WAS,240,36,79,.456,2,11,.182,19,27,.704,12,39,51,17,9,4,17,27,93,1,1
201301140WAS,240,46,82,.561,7,11,.636,21,25,.840,9,33,42,32,8,6,11,21,120,1,1
201301160SAC,240,39,86,.453,8,17,.471,8,11,.727,11,30,41,32,7,5,17,17,94,0,0
201301180DEN,240,41,80,.513,11,23,.478,19,28,.679,12,33,45,26,9,9,20,20,112,0,1
201301190LAC,240,32,77,.416,8,20,.400,15,27,.556,11,32,43,21,8,6,18,24,87,0,0
201301210POR,240,39,84,.464,8,19,.421,12,17,.706,11,33,44,23,6,1,15,18,98,0,1
201301230UTA,240,31,86,.360,7,18,.389,19,26,.731,12,39,51,20,9,7,15,19,88,0,0
201301250WAS,240,48,83,.578,8,17,.471,10,17,.588,6,29,35,29,8,8,16,27,114,1,1
201301260WAS,240,34,79,.430,3,10,.300,15,19,.789,9,33,42,20,6,2,9,14,86,1,1
201301280WAS,240,37,77,.481,3,11,.273,17,21,.810,10,35,45,20,4,2,20,19,94,1,0
201301300PHI,240,30,75,.400,7,22,.318,17,21,.810,8,38,46,22,5,6,18,15,84,0,0
201302010MEM,240,34,83,.410,5,20,.250,3,3,1.000,7,24,31,19,12,0,15,19,76,0,0
201302020SAS,240,36,88,.409,6,22,.273,8,17,.471,12,29,41,24,8,2,16,23,86,0,0
201302040WAS,240,37,84,.440,7,12,.583,17,27,.630,13,31,44,27,11,8,12,16,98,1,1
201302060WAS,240,42,79,.532,11,20,.550,11,14,.786,7,31,38,23,3,4,10,17,106,1,1
201302080WAS,240,36,80,.450,7,16,.438,10,11,.909,5,40,45,19,11,4,12,25,89,1,1
201302110MIL,240,42,74,.568,4,12,.333,14,17,.824,7,40,47,29,7,4,19,16,102,0,1
201302130DET,240,34,70,.486,3,11,.273,14,22,.636,5,27,32,22,7,3,17,18,85,0,0
201302190WAS,240,30,78,.385,6,15,.400,22,27,.815,12,32,44,20,6,3,16,20,88,1,0
201302220WAS,240,42,88,.477,11,24,.458,24,33,.727,18,31,49,27,7,8,18,26,119,1,1
201302230WAS,240,41,80,.513,7,16,.438,16,19,.842,9,28,37,31,8,6,13,18,105,1,1
201302250TOR,240,34,81,.420,7,12,.583,15,17,.882,10,39,49,17,7,1,19,23,90,0,1
201302270WAS,240,40,84,.476,8,19,.421,7,10,.700,9,30,39,27,8,4,15,15,95,1,0
201303010WAS,240,31,74,.419,7,16,.438,19,29,.655,11,33,44,19,7,4,13,18,88,1,0
201303030WAS,240,34,80,.425,6,15,.400,16,21,.762,13,37,50,23,2,7,16,20,90,1,1
201303060MIN,240,29,65,.446,6,19,.316,18,22,.818,6,38,44,17,6,5,24,29,82,0,0
201303080BRK,240,32,90,.356,3,17,.176,11,17,.647,14,30,44,18,10,8,11,28,78,0,0
201303090WAS,240,35,70,.500,10,18,.556,24,32,.750,9,36,45,23,6,5,16,26,104,1,1
201303120CLE,240,31,76,.408,5,17,.294,23,28,.821,11,35,46,20,4,5,14,22,90,0,0
201303130WAS,240,43,86,.500,8,16,.500,12,24,.500,13,35,48,25,8,0,13,17,106,1,1
201303150WAS,240,36,72,.500,9,20,.450,15,19,.789,9,30,39,23,5,7,12,18,96,1,1
201303160WAS,240,48,93,.516,14,21,.667,17,20,.850,15,27,42,30,6,3,10,18,127,1,1
201303180CHA,240,43,81,.531,6,15,.400,22,29,.759,14,27,41,27,6,5,17,26,114,0,0
201303200PHO,240,33,68,.485,6,15,.400,16,25,.640,6,35,41,22,7,4,21,22,88,0,1
201303220LAL,240,40,87,.460,11,26,.423,12,16,.750,6,33,39,28,8,5,9,18,103,0,1
201303230GSW,240,36,88,.409,7,17,.412,13,16,.813,12,26,38,20,10,1,12,22,92,0,0
201303250WAS,240,36,72,.500,5,13,.385,30,44,.682,10,32,42,17,8,4,12,17,107,1,1
201303270OKC,240,27,84,.321,5,20,.250,21,29,.724,16,27,43,17,8,2,15,28,80,0,0
201303290ORL,240,30,81,.370,4,20,.200,28,32,.875,18,37,55,15,4,2,13,18,92,0,0
201303310WAS,240,41,85,.482,9,17,.529,18,28,.643,14,34,48,24,4,5,9,26,109,1,1
201304020WAS,240,33,78,.423,6,13,.462,18,26,.692,10,41,51,22,3,4,10,14,90,1,1
201304030TOR,240,26,80,.325,5,19,.263,21,29,.724,10,31,41,14,7,2,14,27,78,0,0
201304060WAS,240,39,79,.494,4,12,.333,22,31,.710,6,35,41,19,10,7,9,22,104,1,1
201304070BOS,240,39,88,.443,10,26,.385,8,12,.667,12,24,36,23,8,6,16,17,96,0,0
201304090NYK,240,35,77,.455,8,20,.400,21,30,.700,11,27,38,18,6,2,13,14,99,0,0
201304100WAS,240,36,80,.450,11,23,.478,15,21,.714,9,25,34,19,15,5,16,20,98,1,0
201304120WAS,240,36,87,.414,1,13,.077,13,21,.619,13,34,47,21,7,7,17,13,86,1,0
201304150BRK,240,41,77,.532,4,11,.364,15,20,.750,11,33,44,24,8,6,19,23,101,0,0
201304170CHI,240,36,85,.424,7,16,.438,13,17,.765,7,30,37,17,7,5,8,17,92,0,0
