GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210300LAL,240,40,85,.471,5,15,.333,14,18,.778,9,31,40,22,9,5,11,25,99,0,1
201210310UTA,240,32,85,.376,11,22,.500,19,26,.731,8,32,40,20,8,5,16,32,94,0,0
201211030DAL,240,49,80,.613,16,25,.640,12,15,.800,8,35,43,31,6,7,22,23,126,1,1
201211050DAL,240,48,78,.615,10,20,.500,8,13,.615,2,35,37,29,12,5,9,15,114,1,1
201211070DAL,240,39,84,.464,8,21,.381,23,35,.657,16,31,47,21,4,6,11,23,109,1,1
201211090NYK,240,33,81,.407,8,28,.286,20,23,.870,9,41,50,17,4,3,20,28,94,0,0
201211100CHA,265,32,79,.405,9,19,.474,24,30,.800,8,35,43,21,9,7,19,24,97,0,0
201211120DAL,240,29,80,.363,4,16,.250,20,25,.800,7,28,35,16,7,2,8,20,82,1,0
201211140DAL,240,39,78,.500,3,11,.273,26,33,.788,14,26,40,20,6,4,13,15,107,1,1
201211160IND,240,30,81,.370,2,13,.154,21,25,.840,8,36,44,16,3,5,11,23,83,0,0
201211170CLE,240,38,74,.514,10,23,.435,17,20,.850,8,34,42,26,6,14,20,19,103,0,1
201211190DAL,265,37,86,.430,10,21,.476,17,24,.708,7,36,43,24,12,11,16,22,101,1,0
201211210DAL,240,42,85,.494,13,29,.448,17,21,.810,11,31,42,22,8,1,13,18,114,1,1
201211240DAL,240,34,92,.370,10,28,.357,11,20,.550,9,30,39,22,9,6,15,28,89,1,0
201211270PHI,240,37,81,.457,5,19,.263,19,22,.864,9,28,37,23,11,1,15,22,98,0,0
201211280CHI,240,28,81,.346,4,18,.222,18,20,.900,11,19,30,18,10,6,14,26,78,0,0
201212010DAL,240,38,93,.409,11,25,.440,5,8,.625,13,36,49,28,8,9,13,18,92,1,1
201212050LAC,240,34,84,.405,5,19,.263,17,19,.895,11,30,41,20,8,6,22,18,90,0,0
201212060PHO,240,37,78,.474,4,12,.333,19,24,.792,11,33,44,15,8,4,16,23,97,0,1
201212080HOU,240,43,91,.473,10,24,.417,20,25,.800,11,29,40,24,7,2,12,24,116,0,1
201212100DAL,240,48,87,.552,7,20,.350,16,21,.762,7,31,38,26,10,7,8,14,119,1,1
201212120BOS,290,47,92,.511,8,23,.348,13,17,.765,7,43,50,27,8,7,27,27,115,0,0
201212140TOR,240,27,69,.391,0,13,.000,20,23,.870,4,34,38,17,4,1,17,17,74,0,0
201212150MIN,265,39,84,.464,7,14,.500,21,25,.840,11,30,41,24,10,8,19,29,106,0,0
201212180DAL,240,39,72,.542,4,11,.364,25,29,.862,6,29,35,19,9,4,11,13,107,1,1
201212200DAL,240,37,96,.385,3,22,.136,18,21,.857,13,23,36,23,10,6,9,17,95,1,0
201212210MEM,240,31,76,.408,6,21,.286,14,17,.824,11,31,42,20,7,6,22,19,82,0,0
201212230SAS,240,34,74,.459,5,14,.357,18,29,.621,9,30,39,22,10,1,20,18,91,0,0
201212270OKC,265,40,95,.421,11,24,.458,14,16,.875,10,36,46,22,9,5,13,19,105,0,0
201212280DAL,240,33,88,.375,5,25,.200,14,21,.667,13,30,43,17,9,5,14,15,85,1,0
201212300DAL,240,38,95,.400,1,16,.063,9,10,.900,14,32,46,23,6,6,11,21,86,1,0
201301010WAS,240,41,82,.500,10,22,.455,11,17,.647,8,34,42,25,6,4,10,25,103,0,1
