GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310TOR,240,33,91,.363,6,17,.353,16,19,.842,15,27,42,18,12,8,10,18,88,1,0
201211030BRK,240,37,82,.451,7,18,.389,19,25,.760,10,27,37,23,8,5,14,31,100,0,0
201211040TOR,240,40,90,.444,10,21,.476,15,17,.882,16,23,39,18,9,3,11,24,105,1,1
201211060OKC,240,30,84,.357,7,30,.233,21,25,.840,8,29,37,16,11,2,17,24,88,0,0
201211070DAL,240,36,81,.444,5,22,.227,27,31,.871,10,28,38,21,7,1,8,28,104,0,0
201211100TOR,240,30,79,.380,12,26,.462,11,16,.688,7,28,35,20,6,4,12,21,83,1,0
201211120TOR,315,51,108,.472,8,24,.333,23,30,.767,20,32,52,31,13,5,17,31,133,1,0
201211130IND,240,26,72,.361,6,12,.500,16,19,.842,8,37,45,13,4,1,12,23,74,0,1
201211170BOS,240,30,70,.429,8,22,.364,21,31,.677,9,26,35,22,7,4,15,23,89,0,0
201211180TOR,240,38,80,.475,7,18,.389,14,23,.609,10,30,40,22,8,6,10,21,97,1,1
201211200PHI,240,37,82,.451,4,16,.250,20,29,.690,12,36,48,28,2,5,11,20,98,0,0
201211210CHA,240,37,80,.463,9,23,.391,14,20,.700,9,27,36,23,5,8,14,25,97,0,0
201211230DET,240,32,78,.410,6,18,.333,20,25,.800,9,28,37,20,6,6,11,23,90,0,0
201211250TOR,290,40,110,.364,6,24,.250,20,24,.833,17,44,61,21,6,8,12,25,106,1,0
201211270HOU,240,42,86,.488,8,23,.348,9,12,.750,11,28,39,25,6,2,16,15,101,0,0
201211280MEM,240,29,74,.392,5,17,.294,19,24,.792,7,26,33,11,5,5,17,29,82,0,0
201211300TOR,240,39,81,.481,8,14,.571,15,22,.682,10,31,41,24,7,4,13,20,101,1,1
201212030DEN,240,42,86,.488,9,28,.321,17,19,.895,9,28,37,19,9,9,16,30,110,0,0
201212050SAC,240,35,86,.407,6,23,.261,24,28,.857,10,30,40,25,6,9,11,23,100,0,0
201212070UTA,240,33,82,.402,7,24,.292,26,31,.839,12,29,41,13,5,7,15,28,99,0,0
201212090LAC,240,30,77,.390,10,26,.385,13,17,.765,11,28,39,22,3,5,14,22,83,0,0
201212100POR,240,26,74,.351,3,21,.143,19,21,.905,9,36,45,13,5,5,14,20,74,0,0
201212120TOR,240,37,75,.493,4,18,.222,10,17,.588,7,24,31,21,11,3,14,25,88,1,0
201212140TOR,240,34,84,.405,12,36,.333,15,22,.682,14,33,47,22,11,3,10,20,95,1,1
201212160TOR,240,39,85,.459,8,30,.267,17,20,.850,5,38,43,29,6,13,7,24,103,1,1
201212180CLE,240,39,75,.520,12,24,.500,23,27,.852,13,23,36,25,8,2,14,24,113,0,1
201212190TOR,240,35,72,.486,10,29,.345,17,22,.773,9,24,33,26,5,6,6,24,97,1,1
201212210TOR,240,33,81,.407,8,19,.421,19,21,.905,7,25,32,20,13,4,9,20,93,1,1
201212260SAS,240,33,78,.423,7,18,.389,7,12,.583,10,25,35,24,10,2,15,19,80,0,0
201212280NOH,265,37,85,.435,5,24,.208,25,32,.781,9,32,41,24,10,6,7,22,104,0,1
201212290ORL,240,46,82,.561,15,27,.556,16,21,.762,9,35,44,33,3,2,8,18,123,0,1
201301020TOR,240,41,77,.532,8,23,.348,12,17,.706,7,29,36,34,12,2,11,20,102,1,1
201301040TOR,240,30,79,.380,11,33,.333,25,37,.676,14,25,39,18,8,5,15,27,96,1,0
201301060TOR,240,34,76,.447,8,23,.348,16,21,.762,7,24,31,28,7,3,16,18,92,1,0
201301090TOR,240,39,80,.488,1,11,.091,11,13,.846,10,36,46,26,9,3,11,16,90,1,1
201301110TOR,240,39,86,.453,12,27,.444,9,11,.818,21,27,48,25,7,6,11,22,99,1,1
201301130TOR,240,36,85,.424,3,13,.231,21,27,.778,17,23,40,25,7,2,15,21,96,1,0
201301150BRK,240,40,82,.488,7,13,.538,19,23,.826,13,28,41,21,3,1,13,21,106,0,0
201301160TOR,265,38,85,.447,6,16,.375,23,32,.719,13,30,43,20,6,5,12,29,105,1,0
201301180PHI,265,40,88,.455,11,25,.440,10,13,.769,10,32,42,29,6,5,18,19,101,0,0
201301200TOR,240,46,84,.548,6,20,.300,10,17,.588,10,30,40,27,11,2,15,22,108,1,1
201301230MIA,265,44,88,.500,14,31,.452,14,18,.778,7,21,28,26,8,1,8,30,116,0,0
201301240ORL,240,39,78,.500,4,16,.250,15,19,.789,7,31,38,25,3,7,10,20,97,0,1
201301260TOR,240,40,82,.488,5,17,.294,13,18,.722,11,28,39,22,6,4,15,23,98,1,0
201301280TOR,240,38,87,.437,6,19,.316,20,23,.870,11,26,37,28,7,4,10,18,102,1,0
201301300ATL,240,33,85,.388,9,22,.409,17,23,.739,15,37,52,16,6,5,17,18,92,0,0
201302010TOR,240,38,81,.469,12,26,.462,10,17,.588,11,34,45,30,7,6,12,25,98,1,1
201302030TOR,240,28,75,.373,4,18,.222,25,32,.781,14,24,38,15,10,3,15,24,85,1,0
201302060TOR,240,34,82,.415,4,18,.222,23,26,.885,12,31,43,18,12,2,15,23,95,1,0
201302080IND,265,42,96,.438,2,9,.222,14,19,.737,17,29,46,19,9,9,14,31,100,0,1
201302100TOR,240,40,78,.513,8,16,.500,14,18,.778,12,27,39,24,7,4,11,21,102,1,1
201302120TOR,240,39,83,.470,10,21,.476,21,23,.913,15,23,38,23,10,5,17,21,109,1,1
201302130NYK,240,31,73,.425,9,21,.429,21,24,.875,8,27,35,12,3,8,10,20,92,0,1
201302190WAS,240,35,78,.449,8,20,.400,18,20,.900,8,34,42,20,10,5,16,19,96,0,1
201302200TOR,240,26,71,.366,8,18,.444,22,26,.846,11,31,42,14,5,4,14,28,82,1,0
201302220TOR,240,35,80,.438,7,18,.389,23,28,.821,6,25,31,18,7,3,9,22,100,1,1
201302250TOR,240,29,79,.367,5,19,.263,21,27,.778,9,30,39,13,9,7,14,18,84,1,0
201302270CLE,240,35,78,.449,2,20,.100,20,25,.800,9,29,38,25,3,8,15,25,92,0,0
201303010TOR,240,29,72,.403,3,11,.273,20,25,.800,8,22,30,12,9,6,13,25,81,1,0
201303020MIL,265,46,100,.460,8,22,.364,14,18,.778,13,29,42,28,9,3,16,26,114,0,0
201303040GSW,240,41,94,.436,9,26,.346,27,35,.771,19,28,47,16,6,5,13,26,118,0,0
201303060PHO,240,37,77,.481,11,24,.458,13,15,.867,7,33,40,24,11,4,21,17,98,0,1
201303080LAL,265,48,93,.516,8,22,.364,12,16,.750,7,36,43,32,8,6,17,27,116,0,0
201303100TOR,240,33,84,.393,8,23,.348,26,34,.765,9,38,47,22,9,5,11,22,100,1,1
201303130BOS,240,34,79,.430,3,13,.231,17,19,.895,7,27,34,17,11,6,17,23,88,0,0
201303150TOR,240,33,68,.485,3,10,.300,23,27,.852,10,36,46,16,6,8,19,23,92,1,1
201303170TOR,240,39,94,.415,2,20,.100,11,12,.917,24,27,51,15,5,2,16,21,91,1,0
201303200CHA,240,35,83,.422,5,22,.227,26,26,1.000,15,30,45,18,7,9,16,27,101,0,0
201303220TOR,240,36,79,.456,11,32,.344,11,14,.786,9,24,33,19,7,1,12,23,94,1,0
201303230NYK,240,34,76,.447,4,23,.174,12,18,.667,11,24,35,13,6,2,18,20,84,0,0
201303270TOR,240,35,78,.449,4,17,.235,14,20,.700,10,32,42,20,8,1,19,18,88,1,0
201303290DET,240,44,82,.537,4,13,.308,7,9,.778,10,32,42,25,7,6,10,16,99,0,1
201303310WAS,240,32,81,.395,7,19,.368,21,26,.808,13,32,45,21,2,6,13,26,92,0,0
201304010TOR,240,41,81,.506,8,21,.381,8,10,.800,6,23,29,24,6,8,10,17,98,1,0
201304030TOR,240,30,66,.455,1,8,.125,27,36,.750,4,40,44,21,6,6,15,24,88,1,1
201304050MIN,240,40,85,.471,4,15,.267,11,16,.688,11,29,40,18,6,6,13,26,95,0,1
201304060MIL,240,30,83,.361,3,10,.300,20,23,.870,8,27,35,18,9,4,16,21,83,0,0
201304090CHI,240,37,72,.514,7,18,.389,20,24,.833,3,30,33,22,6,3,8,21,101,0,1
201304120TOR,240,34,72,.472,2,8,.250,27,33,.818,11,27,38,22,10,7,13,13,97,1,1
201304140TOR,240,36,82,.439,6,15,.400,15,21,.714,10,38,48,19,4,1,12,19,93,1,1
201304160ATL,240,40,78,.513,10,27,.370,23,27,.852,10,37,47,24,7,10,18,20,113,0,1
201304170TOR,240,40,80,.500,12,21,.571,22,28,.786,9,37,46,26,5,5,9,14,114,1,1
