GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310CHI,240,33,79,.418,2,9,.222,25,33,.758,14,32,46,21,8,10,18,19,93,1,1
201211020CLE,240,44,69,.638,4,10,.400,23,30,.767,5,36,41,34,7,4,17,21,115,0,1
201211030CHI,240,29,88,.330,3,17,.176,21,25,.840,15,26,41,21,11,6,12,20,82,1,0
201211060CHI,240,40,84,.476,2,6,.333,17,24,.708,9,34,43,27,7,7,9,12,99,1,1
201211080CHI,240,35,84,.417,5,15,.333,16,18,.889,12,29,41,22,6,3,20,19,91,1,0
201211100CHI,240,34,80,.425,6,13,.462,13,16,.813,14,33,47,19,6,9,14,19,87,1,1
201211120CHI,240,34,74,.459,3,9,.333,24,31,.774,8,32,40,24,6,1,13,15,95,1,0
201211140PHO,265,44,88,.500,6,12,.500,18,25,.720,15,31,46,26,7,5,15,21,112,0,1
201211170LAC,240,30,89,.337,2,14,.143,18,22,.818,21,24,45,18,7,4,15,20,80,0,0
201211180POR,240,37,75,.493,4,16,.250,16,18,.889,6,29,35,25,9,3,19,20,94,0,0
201211210HOU,240,38,95,.400,2,16,.125,11,19,.579,16,32,48,20,11,7,14,22,89,0,0
201211240MIL,240,32,82,.390,4,16,.250,25,26,.962,20,34,54,17,4,2,16,18,93,0,1
201211260CHI,240,35,80,.438,5,11,.455,17,19,.895,14,26,40,21,8,6,15,21,92,1,0
201211280CHI,240,34,69,.493,6,10,.600,27,33,.818,10,34,44,24,8,6,19,19,101,1,1
201212010CHI,240,38,81,.469,4,7,.571,13,21,.619,12,38,50,28,4,6,13,16,93,1,1
201212040CHI,240,28,73,.384,4,12,.333,16,20,.800,13,33,46,18,3,7,19,21,76,1,0
201212050CLE,240,34,72,.472,4,15,.267,23,27,.852,10,35,45,22,5,6,15,24,95,0,1
201212070DET,240,43,82,.524,5,14,.357,17,21,.810,13,28,41,23,6,4,8,20,108,0,1
201212080CHI,240,34,78,.436,7,13,.538,18,18,1.000,10,37,47,18,10,6,19,20,93,1,1
201212110CHI,240,35,87,.402,10,20,.500,9,12,.750,18,32,50,26,8,4,16,18,89,1,0
201212120PHI,240,34,78,.436,4,11,.364,24,26,.923,9,30,39,24,7,3,11,14,96,0,1
201212150CHI,240,33,75,.440,2,10,.200,15,19,.789,7,26,33,21,10,6,13,17,83,1,1
201212170MEM,240,28,75,.373,2,11,.182,13,20,.650,10,29,39,14,10,1,16,21,71,0,0
201212180CHI,240,37,74,.500,5,9,.556,21,24,.875,12,31,43,28,4,10,12,15,100,1,1
201212210NYK,240,37,83,.446,8,18,.444,28,33,.848,12,39,51,22,7,4,16,25,110,0,1
201212220ATL,240,32,76,.421,5,14,.357,6,8,.750,6,25,31,20,10,3,15,14,75,0,0
201212250CHI,240,37,83,.446,6,20,.300,17,20,.850,7,24,31,22,6,3,11,19,97,1,0
201212290CHI,240,34,87,.391,7,16,.438,12,18,.667,13,36,49,24,6,6,8,22,87,1,1
201212310CHI,240,33,94,.351,4,16,.250,11,18,.611,15,34,49,24,13,5,11,31,81,1,0
201301020ORL,240,36,77,.468,5,12,.417,19,25,.760,9,26,35,27,7,5,6,16,96,0,1
201301040MIA,240,36,80,.450,5,14,.357,19,24,.792,19,29,48,22,7,2,15,20,96,0,1
201301070CHI,240,44,82,.537,10,14,.714,20,24,.833,16,31,47,34,10,9,20,21,118,1,1
201301090CHI,240,39,95,.411,4,10,.400,14,20,.700,16,29,45,23,9,2,15,18,96,1,0
201301110NYK,240,39,68,.574,5,11,.455,25,34,.735,6,33,39,26,8,6,18,23,108,0,1
201301120CHI,240,32,88,.364,2,11,.182,15,21,.714,18,24,42,18,6,6,10,18,81,1,0
201301140CHI,240,33,79,.418,6,14,.429,25,33,.758,15,44,59,18,6,13,13,16,97,1,1
201301160TOR,265,39,86,.453,3,11,.273,26,36,.722,14,32,46,26,7,2,14,30,107,0,1
201301180BOS,265,36,75,.480,5,15,.333,23,32,.719,8,35,43,21,4,1,21,22,100,0,1
201301190CHI,265,31,85,.365,3,14,.214,17,21,.810,15,35,50,22,6,6,15,25,82,1,0
201301210CHI,240,39,93,.419,9,17,.529,8,12,.667,14,26,40,25,9,11,8,20,95,1,1
201301230CHI,240,31,71,.437,3,14,.214,20,26,.769,14,29,43,21,5,5,14,18,85,1,1
201301250CHI,240,41,88,.466,9,20,.450,12,18,.667,16,40,56,22,4,8,15,26,103,1,1
