GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210310LAC,240,38,74,.514,5,15,.333,20,29,.690,8,31,39,25,12,9,22,27,101,1,1
201211020LAL,240,38,84,.452,8,22,.364,21,27,.778,9,28,37,24,12,4,11,26,105,0,1
201211030LAC,240,30,70,.429,10,21,.476,40,52,.769,7,26,33,21,6,5,16,31,110,1,0
201211050LAC,240,39,74,.527,9,25,.360,14,16,.875,9,29,38,23,7,13,25,24,101,1,0
201211070LAC,240,46,83,.554,6,17,.353,8,9,.889,9,37,46,30,13,8,15,19,106,1,1
201211080POR,240,41,77,.532,3,13,.231,18,25,.720,10,34,44,20,9,3,13,22,103,0,1
201211110LAC,240,38,82,.463,5,15,.333,8,8,1.000,8,30,38,21,12,6,13,22,89,1,1
201211140LAC,240,35,72,.486,10,21,.476,27,32,.844,9,29,38,22,11,8,18,25,107,1,1
201211170LAC,240,37,75,.493,5,16,.313,22,30,.733,10,31,41,21,10,10,12,20,101,1,1
201211190SAS,240,40,85,.471,1,12,.083,11,19,.579,17,35,52,13,7,7,17,20,92,0,1
201211210OKC,265,40,93,.430,7,20,.350,24,33,.727,17,28,45,19,16,5,14,27,111,0,0
201211230BRK,240,29,72,.403,4,17,.235,14,22,.636,17,28,45,15,8,7,18,22,76,0,0
201211240ATL,240,32,75,.427,8,19,.421,21,25,.840,7,30,37,19,13,3,14,22,93,0,0
201211260LAC,240,37,79,.468,18,37,.486,6,11,.545,8,24,32,26,11,5,14,26,98,1,0
201211280LAC,240,37,81,.457,4,19,.211,23,26,.885,11,24,35,28,11,6,10,25,101,1,1
201212010LAC,240,47,86,.547,12,24,.500,10,16,.625,8,33,41,27,12,6,5,15,116,1,1
201212030UTA,240,42,89,.472,4,21,.190,17,24,.708,13,23,36,19,9,3,10,14,105,0,1
201212050LAC,240,45,90,.500,6,20,.300,16,21,.762,12,37,49,30,18,6,17,17,112,1,1
201212080LAC,240,48,93,.516,7,23,.304,14,24,.583,17,24,41,30,12,5,11,16,117,1,1
201212090LAC,240,36,79,.456,6,19,.316,24,34,.706,15,30,45,21,11,6,9,17,102,1,1
201212110CHI,240,37,80,.463,4,11,.364,16,23,.696,11,31,42,19,11,5,15,15,94,0,1
201212120CHA,240,37,85,.435,9,23,.391,17,25,.680,17,31,48,26,6,11,11,16,100,0,1
201212150MIL,240,44,82,.537,5,11,.455,18,24,.750,11,38,49,33,10,3,11,22,111,0,1
201212170DET,240,35,78,.449,5,22,.227,13,17,.765,12,30,42,19,9,5,11,15,88,0,1
201212190LAC,240,37,74,.500,4,20,.200,15,19,.789,9,28,37,28,8,7,12,21,93,1,1
201212210LAC,240,37,87,.425,7,23,.304,16,24,.667,16,37,53,24,13,13,19,17,97,1,1
201212230PHO,240,38,71,.535,11,21,.524,16,29,.552,5,39,44,26,12,7,16,19,103,0,1
201212250LAC,240,45,93,.484,11,25,.440,11,19,.579,16,29,45,29,12,6,15,21,112,1,1
201212270LAC,240,41,85,.482,12,30,.400,12,24,.500,10,34,44,31,12,7,8,18,106,1,1
201212280UTA,240,38,77,.494,7,23,.304,33,41,.805,11,24,35,20,11,0,15,29,116,0,1
201212300LAC,240,39,78,.500,8,18,.444,21,29,.724,9,32,41,25,10,10,12,26,107,1,1
201301010DEN,240,30,78,.385,5,29,.172,13,29,.448,14,32,46,15,10,7,13,18,78,0,0
201301020GSW,240,29,80,.363,8,29,.276,28,39,.718,11,27,38,24,14,4,14,18,94,0,0
201301040LAC,240,41,82,.500,6,14,.429,19,25,.760,15,32,47,27,8,7,15,31,107,1,1
201301050LAC,240,47,90,.522,10,28,.357,11,15,.733,9,32,41,29,12,4,7,21,115,1,1
201301090LAC,240,38,79,.481,10,24,.417,13,21,.619,15,32,47,25,9,6,21,16,99,1,1
201301120LAC,240,43,88,.489,9,22,.409,6,6,1.000,9,26,35,32,8,6,9,15,101,1,0
201301140MEM,240,35,76,.461,5,14,.357,24,32,.750,11,33,44,20,8,9,10,19,99,0,1
201301150HOU,240,42,78,.538,11,19,.579,22,26,.846,10,25,35,21,7,2,16,21,117,0,1
201301170MIN,240,35,77,.455,5,13,.385,15,23,.652,11,37,48,18,10,5,18,20,90,0,1
201301190LAC,240,34,93,.366,5,21,.238,21,31,.677,22,36,58,18,9,9,11,23,94,1,1
201301210GSW,240,38,83,.458,11,30,.367,12,22,.545,10,29,39,32,10,5,14,16,99,0,0
201301220LAC,240,39,84,.464,4,16,.250,15,21,.714,12,23,35,15,8,7,10,17,97,1,0
201301240PHO,240,33,83,.398,6,18,.333,16,26,.615,14,31,45,20,5,4,15,25,88,0,0
201301260POR,240,40,81,.494,7,16,.438,13,17,.765,15,26,41,25,6,4,15,22,100,0,0
201301270LAC,240,42,82,.512,6,17,.353,6,9,.667,8,29,37,33,8,2,12,23,96,1,1
201301300MIN,240,35,76,.461,3,9,.333,23,36,.639,14,31,45,16,11,4,15,18,96,0,1
201302010TOR,240,25,72,.347,3,19,.158,20,31,.645,9,28,37,12,6,4,14,16,73,0,0
201302030BOS,240,40,79,.506,9,21,.429,15,21,.714,13,28,41,27,9,2,20,26,104,0,0
201302040WAS,240,37,79,.468,4,17,.235,12,15,.800,9,35,44,21,6,6,20,24,90,0,0
201302060ORL,240,33,82,.402,6,18,.333,14,22,.636,13,35,48,17,16,6,14,16,86,0,1
201302080MIA,240,34,77,.442,7,16,.438,14,19,.737,11,24,35,23,9,5,18,24,89,0,0
201302100NYK,240,41,80,.513,10,28,.357,10,16,.625,13,30,43,21,10,6,14,19,102,0,1
201302110PHI,240,44,75,.587,8,19,.421,11,22,.500,11,32,43,29,8,7,13,16,107,0,1
201302130LAC,240,37,75,.493,13,32,.406,19,26,.731,6,31,37,28,12,6,18,19,106,1,1
201302140LAL,240,46,89,.517,16,30,.533,17,22,.773,17,30,47,25,9,8,14,25,125,0,1
201302210LAC,240,32,76,.421,5,16,.313,21,25,.840,13,20,33,21,5,1,18,22,90,1,0
201302230LAC,240,40,78,.513,8,20,.400,19,24,.792,10,36,46,22,9,2,20,24,107,1,1
201302260LAC,240,41,76,.539,12,22,.545,12,26,.462,9,34,43,34,11,10,15,17,106,1,1
201302280IND,240,39,80,.488,4,23,.174,17,21,.810,9,27,36,18,8,6,11,26,99,0,1
201303010CLE,240,43,83,.518,7,25,.280,12,20,.600,11,28,39,26,10,9,10,20,105,0,1
201303030LAC,240,38,82,.463,9,24,.375,19,22,.864,13,28,41,22,9,2,20,26,104,1,0
201303060LAC,240,47,87,.540,12,29,.414,11,14,.786,9,33,42,33,10,9,10,15,117,1,1
