GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201210300MIA,240,39,75,.520,6,13,.462,23,28,.821,7,34,41,24,4,2,15,23,107,0,0
201211020BOS,240,33,74,.446,5,14,.357,17,21,.810,6,30,36,22,9,4,18,18,88,1,0
201211030WAS,240,36,84,.429,8,21,.381,9,13,.692,6,29,35,24,8,4,9,12,89,0,1
201211070BOS,265,34,81,.420,4,13,.308,28,34,.824,6,38,44,26,9,5,16,17,100,1,1
201211090BOS,240,37,76,.487,4,10,.400,22,31,.710,7,24,31,31,7,3,14,19,100,1,0
201211100MIL,240,32,72,.444,5,15,.333,27,34,.794,7,33,40,20,4,4,14,22,96,0,1
201211120CHI,240,41,81,.506,3,16,.188,16,16,1.000,6,28,34,28,9,5,8,24,101,0,1
201211140BOS,240,36,72,.500,4,10,.400,22,29,.759,4,29,33,24,8,4,9,17,98,1,1
201211150BRK,240,35,75,.467,7,13,.538,20,25,.800,12,32,44,17,8,3,13,24,97,0,0
201211170BOS,240,43,76,.566,6,15,.400,15,19,.789,7,30,37,37,7,2,13,23,107,1,1
201211180DET,240,32,71,.451,4,17,.235,15,19,.789,7,23,30,12,7,0,17,21,83,0,0
201211210BOS,240,41,77,.532,3,8,.375,15,17,.882,1,24,25,21,9,5,12,18,100,1,0
201211230BOS,240,39,80,.488,9,17,.529,21,24,.875,8,28,36,28,10,1,15,23,108,1,1
201211250ORL,265,47,105,.448,7,18,.389,15,19,.789,17,34,51,26,9,2,15,22,116,0,1
201211280BOS,240,32,75,.427,1,7,.143,18,24,.750,8,32,40,14,7,6,17,24,83,1,0
201211300BOS,240,36,73,.493,6,16,.375,18,20,.900,5,31,36,20,16,4,19,27,96,1,1
201212010MIL,240,34,82,.415,6,19,.316,14,17,.824,11,32,43,26,8,9,16,19,88,0,0
201212050BOS,240,41,78,.526,4,17,.235,18,26,.692,6,39,45,24,6,6,16,24,104,1,1
201212070PHI,265,35,81,.432,6,22,.273,18,25,.720,7,46,53,24,6,7,18,23,94,0,0
201212080BOS,240,40,75,.533,4,14,.286,8,12,.667,7,25,32,25,6,2,11,19,92,1,1
201212120BOS,290,43,100,.430,6,22,.273,25,30,.833,9,33,42,24,16,5,13,22,117,1,1
201212140HOU,240,34,85,.400,8,20,.400,13,17,.765,9,32,41,22,15,5,12,16,89,0,0
201212150SAS,240,38,81,.469,6,16,.375,6,8,.750,11,27,38,22,6,3,17,20,88,0,0
201212180CHI,240,35,81,.432,5,10,.500,14,19,.737,11,24,35,18,7,2,9,18,89,0,0
201212190BOS,240,37,62,.597,9,17,.529,20,27,.741,2,33,35,23,9,7,14,24,103,1,1
201212210BOS,265,36,94,.383,5,24,.208,17,20,.850,12,32,44,23,16,5,14,22,94,1,0
201212250BRK,240,38,77,.494,6,10,.600,11,13,.846,9,32,41,25,10,4,11,25,93,0,1
201212270LAC,240,29,72,.403,6,16,.375,13,15,.867,7,33,40,20,5,3,18,23,77,0,0
201212290GSW,240,31,86,.360,5,22,.227,16,21,.762,13,25,38,18,10,3,13,15,83,0,0
201212300SAC,240,36,86,.419,7,22,.318,17,19,.895,10,25,35,25,7,3,12,23,96,0,0
201301020BOS,240,32,71,.451,8,22,.364,11,16,.688,3,24,27,22,8,1,10,22,83,1,0
201301040BOS,240,40,89,.449,4,9,.444,10,18,.556,12,37,49,22,9,8,14,28,94,1,1
201301050ATL,240,39,85,.459,3,16,.188,8,12,.667,16,28,44,27,11,4,12,15,89,0,1
201301070NYK,240,39,74,.527,6,18,.333,18,20,.900,9,27,36,26,8,1,10,21,102,0,1
201301090BOS,240,37,81,.457,3,14,.214,10,12,.833,12,30,42,23,12,5,13,15,87,1,1
201301110BOS,240,41,79,.519,9,23,.391,12,16,.750,8,35,43,22,8,6,16,29,103,1,1
201301140BOS,240,39,80,.488,8,21,.381,14,20,.700,14,28,42,27,6,8,14,21,100,1,1
201301160BOS,240,34,74,.459,4,18,.222,6,16,.375,6,27,33,22,11,4,15,21,78,1,0
201301180BOS,265,38,91,.418,3,14,.214,20,28,.714,11,31,42,15,10,3,11,28,99,1,0
201301200DET,240,33,83,.398,4,15,.267,18,25,.720,11,31,42,22,13,4,18,33,88,0,0
201301220CLE,240,32,84,.381,7,17,.412,19,22,.864,16,32,48,24,5,8,16,18,90,0,0
201301240BOS,240,31,76,.408,3,18,.167,21,28,.750,7,39,46,18,6,3,12,23,86,1,0
201301250ATL,290,42,93,.452,7,19,.368,20,20,1.000,10,38,48,28,8,1,21,30,111,0,0
201301270BOS,290,36,88,.409,5,20,.250,23,27,.852,8,38,46,24,11,8,14,20,100,1,1
201301300BOS,240,39,73,.534,5,16,.313,16,20,.800,6,32,38,22,9,4,16,22,99,1,1
201302010BOS,240,42,84,.500,4,18,.222,9,14,.643,10,38,48,30,9,5,14,13,97,1,1
201302030BOS,240,36,72,.500,11,18,.611,23,27,.852,6,23,29,23,8,2,17,22,106,1,1
201302060TOR,240,35,73,.479,4,19,.211,25,30,.833,6,35,41,21,4,5,13,20,99,0,1
201302070BOS,240,46,87,.529,5,11,.455,19,25,.760,12,36,48,25,10,5,9,28,116,1,1
201302100BOS,315,43,108,.398,13,30,.433,19,24,.792,8,43,51,34,14,8,16,19,118,1,1
201302110CHA,240,32,77,.416,6,14,.429,21,26,.808,8,36,44,26,6,7,10,24,91,0,0
201302130BOS,240,28,76,.368,5,15,.333,10,12,.833,8,31,39,18,9,4,10,21,71,1,1
201302190DEN,240,35,79,.443,7,20,.350,13,16,.813,8,31,39,22,6,2,12,24,90,0,0
201302200LAL,240,39,82,.476,9,20,.450,12,20,.600,7,27,34,24,5,4,12,25,99,0,0
201302220PHO,240,44,79,.557,10,22,.455,15,23,.652,9,36,45,19,8,6,12,20,113,0,1
201302240POR,240,36,85,.424,2,13,.154,12,15,.800,6,30,36,16,9,2,9,18,86,0,0
201302250UTA,265,41,86,.477,10,27,.370,18,20,.900,8,29,37,19,8,5,12,24,110,0,1
201303010BOS,240,36,75,.480,3,15,.200,19,28,.679,2,42,44,24,6,5,17,20,94,1,1
201303050PHI,240,42,83,.506,11,19,.579,14,16,.875,12,37,49,34,7,5,22,16,109,0,1
201303060IND,240,34,83,.410,7,17,.412,8,9,.889,9,38,47,18,9,8,13,19,83,0,1
201303080BOS,265,40,78,.513,10,20,.500,17,20,.850,2,33,35,23,9,3,15,17,107,1,1
201303100OKC,240,29,77,.377,7,20,.350,14,20,.700,10,34,44,17,5,5,18,23,79,0,0
201303120CHA,240,27,66,.409,4,13,.308,16,25,.640,6,23,29,15,4,4,13,21,74,0,0
201303130BOS,240,39,76,.513,6,15,.400,28,35,.800,6,34,40,29,11,7,14,19,112,1,1
201303160BOS,240,41,79,.519,10,15,.667,13,20,.650,10,32,42,28,6,8,13,21,105,1,1
201303180BOS,240,39,72,.542,10,21,.476,15,24,.625,4,29,33,24,9,7,20,26,103,1,0
201303200NOH,240,33,72,.458,4,14,.286,16,17,.941,4,24,28,20,13,6,13,18,86,0,0
201303220DAL,240,32,77,.416,5,17,.294,25,27,.926,10,28,38,19,8,5,14,26,94,0,0
201303230MEM,240,38,74,.514,9,20,.450,21,28,.750,7,30,37,19,5,9,14,21,106,0,0
201303260BOS,240,31,69,.449,6,20,.300,17,22,.773,7,33,40,20,6,6,19,16,85,1,0
201303270CLE,240,34,76,.447,5,14,.357,20,28,.714,2,35,37,27,10,4,15,15,93,0,1
201303290BOS,240,45,83,.542,11,23,.478,17,21,.810,9,28,37,25,8,9,12,20,118,1,1
201303310NYK,240,32,74,.432,7,25,.280,18,23,.783,9,28,37,12,3,3,10,22,89,0,0
201304010MIN,240,42,81,.519,7,16,.438,9,14,.643,7,30,37,25,4,3,17,21,100,0,0
201304030BOS,240,36,71,.507,7,20,.350,19,22,.864,4,30,34,20,7,9,15,26,98,1,1
201304050BOS,240,36,89,.404,6,22,.273,13,22,.591,10,32,42,23,7,7,11,24,91,1,0
201304070BOS,240,43,77,.558,4,11,.364,17,21,.810,6,32,38,26,11,2,14,19,107,1,1
201304100BOS,240,37,81,.457,6,16,.375,13,17,.765,10,27,37,20,4,2,12,21,93,1,0
201304120MIA,240,41,85,.482,6,23,.261,13,13,1.000,9,25,34,15,9,1,13,18,101,0,0
201304130ORL,240,48,81,.593,10,16,.625,14,19,.737,7,31,38,27,10,4,13,15,120,0,1
201304170TOR,240,37,84,.440,7,17,.412,9,13,.692,9,29,38,19,7,2,13,22,90,0,0
