Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
obannch01,Charles O'Bannon,1998,1999,G-F,6-5,209,"February 22, 1975","University of California, Los Angeles"
obanned01,Ed O'Bannon,1996,1997,F,6-8,222,"August 14, 1972","University of California, Los Angeles"
oboyljo01,John O'Boyle,1953,1953,G,6-2,185,"March 7, 1928","Colorado State University"
obriebo01,Bob O'Brien,1948,1949,F,6-4,190,"January 26, 1927","Pepperdine University"
obrieji02,Jim O'Brien,1974,1975,F,6-7,200,"November 7, 1951","University of Maryland"
obrieji01,Jimmy O'Brien,1972,1975,G,6-1,170,"April 9, 1949","Boston College"
obriera01,Ralph O'Brien,1952,1953,G,5-9,160,"April 8, 1928","Butler University"
obryapa01,Patrick O'Bryant,2007,2010,C,7-0,260,"June 20, 1986","Bradley University"
oconnde01,Dermie O'Connell,1949,1950,G,6-0,174,"April 13, 1928","College of the Holy Cross"
odonnan01,Andy O'Donnell,1950,1950,G,6-1,180,"March 10, 1925","Loyola College in Maryland"
ogradbu01,Buddy O'Grady,1947,1949,G,5-11,160,"January 19, 1920","Georgetown University"
ohanlfr01,Francis O'Hanlon,1971,1971,G,6-1,175,"August 24, 1948","Villanova University"
okeefdi01,Dick O'Keefe,1948,1951,G-F,6-2,185,"September 29, 1923","Santa Clara University"
okeefto01,Tommy O'Keefe,1951,1951,G,6-2,185,"July 16, 1926","Georgetown University"
okoremi01,Mike O'Koren,1981,1988,F-G,6-7,207,"February 7, 1958","University of North Carolina"
omallgr01,Grady O'Malley,1970,1970,F,6-5,205,"April 25, 1948","Manhattan College"
onealje01,Jermaine O'Neal,1997,2014,F-C,6-11,226,"October 13, 1978",""
onealsh01,Shaquille O'Neal,1993,2011,C,7-1,325,"March 6, 1972","Louisiana State University"
oneilmi01,Mike O'Neill,1953,1953,F,6-3,210,"","University of California"
oquinky01,Kyle O'Quinn,2013,2014,C,6-10,240,"March 26, 1990","Norfolk State University"
osheake01,Kevin O'Shea,1951,1953,G,6-2,175,"July 10, 1925","University of Notre Dame"
oshiega01,Garland O'Shields,1947,1947,G-F,6-1,195,"May 23, 1921","University of Tennessee"
osullda01,Dan O'Sullivan,1991,1996,C,6-10,250,"March 3, 1968","Fordham University"
oaklech01,Charles Oakley,1986,2004,F-C,6-8,225,"December 18, 1963","Virginia Union University"
obertfa01,Fabricio Oberto,2006,2011,F,6-10,245,"March 21, 1975",""
odengr01,Greg Oden,2009,2010,C,7-0,250,"January 22, 1988","Ohio State University"
odomla01,Lamar Odom,2000,2013,F,6-10,220,"November 6, 1979","University of Rhode Island"
ogdenbu01,Bud Ogden,1970,1971,F,6-6,215,"December 29, 1946","Santa Clara University"
ogdenra01,Ralph Ogden,1971,1971,F,6-5,205,"January 25, 1948","Santa Clara University"
oggal01,Alan Ogg,1991,1993,C,7-2,240,"July 5, 1967","University of Alabama at Birmingham"
ohldo01,Don Ohl,1961,1970,G,6-3,190,"April 18, 1936","University of Illinois at Urbana-Champaign"
ohlbrti01,Tim Ohlbrecht,2013,2013,C,6-11,255,"August 30, 1988",""
okafoem01,Emeka Okafor,2005,2013,C-F,6-10,252,"September 28, 1982","University of Connecticut"
okurme01,Mehmet Okur,2003,2012,F-C,6-11,249,"May 26, 1979",""
oladivi01,Victor Oladipo,2014,2014,G,6-5,214,"May 4, 1992","Indiana University"
olajuha01,Hakeem Olajuwon,1985,2002,C,7-0,255,"January 21, 1963","University of Houston"
olberma01,Mark Olberding,1976,1987,F,6-8,225,"April 21, 1956","University of Minnesota"
oldhaja01,Jawann Oldham,1981,1991,C,7-0,215,"July 4, 1957","Seattle University"
oldhajo01,John Oldham,1950,1951,G,6-3,175,"June 22, 1923","Western Kentucky University"
oleynfr01,Frank Oleynick,1976,1977,G,6-2,185,"February 20, 1955","Seattle University"
olivejo01,John Olive,1979,1980,F,6-7,210,"March 1, 1955","Villanova University"
olivebr01,Brian Oliver,1991,1998,G,6-4,210,"June 1, 1968","Georgia Institute of Technology"
olivede01,Dean Oliver,2002,2003,G,5-11,180,"November 5, 1978","University of Iowa"
oliveji01,Jimmy Oliver,1992,1999,G-F,6-5,205,"July 12, 1969","Purdue University"
ollieke01,Kevin Ollie,1998,2010,G,6-4,195,"December 27, 1972","University of Connecticut"
ollrige01,Gene Ollrich,1950,1950,G,5-11,160,"June 30, 1922","Drake University"
olowomi01,Michael Olowokandi,1999,2007,C,7-0,269,"April 3, 1975","University of the Pacific"
olsenbu01,Bud Olsen,1963,1970,F-C,6-8,220,"July 25, 1940","University of Louisville"
olynyke01,Kelly Olynyk,2014,2014,F,7-0,238,"April 19, 1991","Gonzaga University"
onuakar01,Arinze Onuaku,2014,2014,F,6-9,275,"July 13, 1987","Syracuse University"
ormsba01,Barry Orms,1969,1970,G,6-3,190,"May 1, 1946","Saint Louis University"
orrjo01,Johnny Orr,1950,1950,F,6-3,195,"June 10, 1927","Beloit College"
orrlo01,Louis Orr,1981,1988,F,6-8,175,"May 7, 1958","Syracuse University"
ortizjo01,Jose Ortiz,1989,1990,F,6-10,225,"October 25, 1963","Oregon State University"
ortonda01,Daniel Orton,2012,2014,F,6-10,255,"August 6, 1990","University of Kentucky"
osborch01,Chuck Osborne,1962,1962,F,6-6,210,"January 21, 1939","Western Kentucky University"
osterwa01,Wally Osterkorn,1952,1955,F-C,6-5,215,"July 6, 1928","University of Illinois at Urbana-Champaign"
ostergr01,Greg Ostertag,1996,2006,C,7-2,280,"March 6, 1973","University of Kansas"
othicma01,Matt Othick,1993,1993,G,6-2,165,"March 16, 1969","University of Arizona"
ottendo01,Don Otten,1950,1953,C,6-10,240,"April 18, 1921","Bowling Green State University"
ottenma01,Mac Otten,1950,1950,F-C,6-7,220,"December 16, 1925","Bowling Green State University"
outlabo01,Bo Outlaw,1994,2008,F,6-8,210,"April 13, 1971","University of Houston"
outlatr01,Travis Outlaw,2004,2014,F,6-9,210,"September 18, 1984",""
overtcl01,Claude Overton,1953,1953,G,6-2,195,"December 16, 1927","East Central University"
overtdo01,Doug Overton,1993,2004,G,6-3,190,"August 3, 1969","La Salle University"
owensan01,Andre Owens,2006,2008,G,6-4,200,"October 31, 1980","University of Houston"
owensbi01,Billy Owens,1992,2001,F-G,6-8,220,"May 1, 1969","Syracuse University"
owensch01,Chris Owens,2003,2003,F,6-7,245,"March 1, 1979","University of Texas at Austin"
owensed01,Eddie Owens,1978,1978,F,6-7,210,"December 26, 1953","University of Nevada, Las Vegas"
owensji01,Jim Owens,1974,1975,F,6-5,200,"May 1, 1950","Arizona State University"
owenske01,Keith Owens,1992,1992,F,6-7,225,"May 31, 1969","University of California, Los Angeles"
owensla01,Larry Owens,2011,2012,F,6-7,210,"January 8, 1983","Oral Roberts University"
owensre01,Red Owens,1950,1952,G-F,6-3,185,"September 2, 1925","Baylor University"
owensto01,Tom Owens,1972,1983,C-F,6-10,215,"June 28, 1949","University of South Carolina"
owesra01,Ray Owes,1997,1997,F,6-9,224,"December 11, 1972","University of Arizona"
oyedeol01,Olumide Oyedeji,2001,2003,C,6-10,240,"May 11, 1981",""
