"   ","INSTANCE_NUMBER","SNAP_ID","SNAP_TIME","EVENT_NAME","WAITS","WAIT_TIME","AVGWAIT","PCT_DB_TIME","WAIT_CLASS"
"32","1","1932","8/30/2013 6:15:50 AM","direct path read","1","0","0","0","User I/O"
"33","1","1933","8/30/2013 6:45:50 AM","db file sequential read","38","1","19","6.9","User I/O"
"34","1","1934","8/30/2013 7:15:50 AM","db file sequential read","34","0","8","2.3","User I/O"
"35","1","1935","8/30/2013 7:45:50 AM","db file sequential read","41","0","5","1.9","User I/O"
"36","1","1936","8/30/2013 8:15:50 AM","db file sequential read","35","0","5","1.5","User I/O"
"37","1","1936","8/30/2013 8:15:50 AM","direct path read","4","0","0","0","User I/O"
"38","1","1937","8/30/2013 8:45:50 AM","db file sequential read","35","0","5","1.5","User I/O"
"39","1","1937","8/30/2013 8:45:50 AM","direct path read","4","0","0","0","User I/O"
"40","1","1938","8/30/2013 9:15:50 AM","db file scattered read","63","0","8","0.3","User I/O"
"41","1","1938","8/30/2013 9:15:50 AM","db file sequential read","767","8","10","4.7","User I/O"
"42","1","1938","8/30/2013 9:15:50 AM","direct path read","5","0","0","0","User I/O"
"43","1","1939","8/30/2013 9:45:50 AM","db file scattered read","20150","81","4","5.5","User I/O"
"44","1","1939","8/30/2013 9:45:50 AM","db file sequential read","107220","287","3","19.4","User I/O"
"45","1","1939","8/30/2013 9:45:50 AM","direct path read","3","0","5","0","User I/O"
"46","1","1940","8/30/2013 10:15:50 AM","db file scattered read","3","0","5","0.1","User I/O"
"47","1","1940","8/30/2013 10:15:50 AM","db file sequential read","670","3","4","14.1","User I/O"
"48","1","1940","8/30/2013 10:15:50 AM","direct path read","27","0","3","0.3","User I/O"
"49","1","1941","8/30/2013 10:45:50 AM","db file sequential read","185","1","4","5.6","User I/O"
"50","1","1942","8/30/2013 11:15:50 AM","db file scattered read","1","0","1","0","User I/O"
"51","1","1942","8/30/2013 11:15:50 AM","db file sequential read","168","1","4","5.5","User I/O"
"52","1","1942","8/30/2013 11:15:50 AM","direct path read","2","0","3","0","User I/O"
"53","1","1943","8/30/2013 11:45:50 AM","db file scattered read","1","0","7","0.1","User I/O"
"54","1","1943","8/30/2013 11:45:50 AM","db file sequential read","159","1","5","5.7","User I/O"
"55","1","1944","8/30/2013 12:15:50 PM","db file sequential read","100","0","5","3.5","User I/O"
"56","1","1944","8/30/2013 12:15:50 PM","direct path read","2","0","0","0","User I/O"
"57","1","1945","8/30/2013 12:45:50 PM","db file sequential read","87","0","5","3.7","User I/O"
"58","1","1945","8/30/2013 12:45:50 PM","direct path read","2","0","0","0","User I/O"
