"TMZDIFF","WRITETIME","Node","Timestamp","Tablespace_Name","Allocation_Size_KB","Allocation_Size_MB","Used_Size_KB","Used_Size_MB","Free_Size_KB","Free_Size_MB","Percentage_Used","Percentage_Free_To_Allocated","File_Largest_Size_KB","File_Largest_Size_MB","Maximum_File_Size_KB","Maximum_File_Size_MB","Percentage_Allocated","Tablespace_Fragment","Percentage_Free_To_Maximum"
"-28800","1130914150048000","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","ESB","10485760.00","10240.00","34624.00","33.81","10451136.00","10206.19","0.33","99.67","4063232.00","3968.00","10485760.00","10240.00","100.00","3","99.67"
"-28800","1130914150048001","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","ESB_INDEX","10485760.00","10240.00","1024.00","1.00","10484736.00","10239.00","0.01","99.99","4063232.00","3968.00","10485760.00","10240.00","100.00","3","99.99"
"-28800","1130914150048002","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","ESB_JOURNAL","471859200.00","460800.00","6639552.00","6483.94","465219648.00","454316.06","1.41","98.59","4063232.00","3968.00","471859200.00","460800.00","100.00","121","98.59"
"-28800","1130914150048003","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","FRONT_DATA","10485760.00","10240.00","5248.00","5.13","10480512.00","10234.88","0.05","99.95","4063232.00","3968.00","10485760.00","10240.00","100.00","3","99.95"
"-28800","1130914150048004","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","FRONT_INDEX","10485760.00","10240.00","4160.00","4.06","10481600.00","10235.94","0.04","99.96","4063232.00","3968.00","10485760.00","10240.00","100.00","3","99.96"
"-28800","1130914150048005","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","SYSAUX","10485760.00","10240.00","1014080.00","990.31","9471680.00","9249.69","9.67","90.33","4063232.00","3968.00","10485760.00","10240.00","100.00","75","90.33"
"-28800","1130914150048006","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","SYSTEM","10485760.00","10240.00","615552.00","601.13","9870208.00","9638.88","5.87","94.13","4063232.00","3968.00","10485760.00","10240.00","100.00","3","94.13"
"-28800","1130914150048007","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","UNDOTBS1","31457280.00","30720.00","5443840.00","5316.25","26013440.00","25403.75","17.31","82.69","3013632.00","2943.00","31457280.00","30720.00","100.00","330","68.32"
"-28800","1130914150048008","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","UNDOTBS2","31457280.00","30720.00","6048832.00","5907.06","25408448.00","24812.94","19.23","80.77","3013632.00","2943.00","31457280.00","30720.00","100.00","408","63.96"
"-28800","1130914150048009","RZ:frontdb2-frontdb2-zhqzdb:RDB","1130914144734000","USERS","5242880.00","5120.00","1024.00","1.00","5241856.00","5119.00","0.02","99.98","4063232.00","3968.00","5242880.00","5120.00","100.00","2","99.98"
