GAME,R_TEAM,R_FG,R_FGA,R_FGP,R_3P,R_3PA,R_3PP,R_FT,R_FTA,R_FTP,R_ORB,R_DRB,R_TRB,R_AST,R_STL,R_BLK,R_TOV,R_PF,R_PTS,R_HOME,R_WIN,H_TEAM,H_FG,H_FGA,H_FGP,H_3P,H_3PA,H_3PP,H_FT,H_FTA,H_FTP,H_ORB,H_DRB,H_TRB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_PTS,H_HOME,H_WIN,RESULT
201212050SAC,Toronto Raptors,36.0555555556,84.1111111111,0.428665785997,7.27777777778,20.7222222222,0.351206434316,17.6111111111,22.8333333333,0.771289537713,10.9444444444,29.7222222222,40.6666666667,20.8333333333,7.27777777778,4.77777777778,13.1111111111,23.9444444444,97.0,0.388888888889,0.222222222222,Sacramento Kings,36.375,83.1875,0.437265214125,6.0625,17.6875,0.342756183746,14.75,19.875,0.74213836478,11.3125,28.4375,39.75,18.4375,8.3125,4.25,13.9375,23.125,93.5625,0.625,0.25,1
201304100BOS,Brooklyn Nets,35.7142857143,79.6233766234,0.448540205513,7.5974025974,21.3896103896,0.355191256831,17.4675324675,23.8311688312,0.732970027248,12.7922077922,30.1688311688,42.961038961,20.2857142857,7.12987012987,4.83116883117,13.8961038961,18.0909090909,96.4935064935,0.506493506494,0.584415584416,Boston Celtics,36.8571428571,79.5844155844,0.463120104439,6.09090909091,17.1168831169,0.355842185129,16.4805194805,21.2467532468,0.775672371638,8.03896103896,31.4415584416,39.4805194805,22.8831168831,8.27272727273,4.62337662338,13.961038961,21.3116883117,96.2857142857,0.506493506494,0.519480519481,0
201303030SAC,Charlotte Bobcats,34.1896551724,81.6379310345,0.418796198522,5.74137931034,16.5862068966,0.346153846154,19.1034482759,25.5517241379,0.747638326586,11.4137931034,29.3793103448,40.7931034483,18.8620689655,7.15517241379,6.3275862069,13.1034482759,19.4655172414,93.224137931,0.5,0.224137931034,Sacramento Kings,36.8166666667,83.4666666667,0.441094249201,6.88333333333,18.8666666667,0.364840989399,17.65,23.1,0.764069264069,11.7833333333,28.4,40.1833333333,20.2166666667,8.48333333333,4.23333333333,14.3666666667,21.0166666667,98.1666666667,0.45,0.333333333333,1
201304090GSW,Minnesota Timberwolves,35.8421052632,81.5131578947,0.439709443099,5.38157894737,17.7631578947,0.302962962963,18.6447368421,25.3421052632,0.735721703011,12.1447368421,30.1447368421,42.2894736842,22.3289473684,8.38157894737,4.77631578947,14.3157894737,18.5526315789,95.7105263158,0.513157894737,0.381578947368,Golden State Warriors,37.9480519481,82.987012987,0.457276995305,7.94805194805,19.8051948052,0.40131147541,16.974025974,21.4155844156,0.792601576713,10.7532467532,33.8961038961,44.6493506494,22.5064935065,6.84415584416,4.19480519481,14.8051948052,21.4025974026,100.818181818,0.493506493506,0.571428571429,1
201212280WAS,Orlando Magic,37.0357142857,82.0,0.451655052265,5.82142857143,17.0357142857,0.341719077568,12.8928571429,16.3571428571,0.788209606987,10.3214285714,33.1428571429,43.4642857143,22.75,6.03571428571,4.57142857143,15.0,19.6071428571,92.7857142857,0.535714285714,0.428571428571,Washington Wizards,33.5769230769,83.0384615385,0.404353867531,6.42307692308,20.6153846154,0.311567164179,15.0,19.9230769231,0.752895752896,11.5,31.8461538462,43.3461538462,20.1923076923,7.65384615385,4.76923076923,14.8076923077,20.9615384615,88.5769230769,0.5,0.115384615385,1
201304130MIN,Phoenix Suns,37.1772151899,84.1139240506,0.441986455982,5.78481012658,17.5569620253,0.329488103821,14.7341772152,19.7974683544,0.744245524297,11.6835443038,29.9367088608,41.6202531646,22.3924050633,7.9746835443,5.27848101266,14.8734177215,20.6202531646,94.8734177215,0.506329113924,0.303797468354,Minnesota Timberwolves,35.7974683544,81.6835443038,0.438245777158,5.44303797468,17.8987341772,0.304101838755,18.6329113924,25.1772151899,0.740070387129,12.0379746835,30.0759493671,42.1139240506,22.4050632911,8.41772151899,4.75949367089,14.1392405063,18.4810126582,95.6708860759,0.493670886076,0.367088607595,1
201304070LAC,Los Angeles Lakers,37.1973684211,81.1973684211,0.458110516934,8.73684210526,24.5131578947,0.3564143854,18.9868421053,27.6052631579,0.687797902765,11.5921052632,33.2236842105,44.8157894737,22.1184210526,7.10526315789,5.15789473684,14.7631578947,18.0526315789,102.118421053,0.486842105263,0.526315789474,Los Angeles Clippers,38.4342105263,80.5526315789,0.477131656321,7.57894736842,21.2763157895,0.356215213358,16.5657894737,23.3157894737,0.710496613995,11.3815789474,29.8552631579,41.2368421053,23.6447368421,9.73684210526,5.64473684211,13.8947368421,21.0394736842,101.013157895,0.5,0.657894736842,1
201211100HOU,Detroit Pistons,34.5,81.0,0.425925925926,5.66666666667,15.8333333333,0.357894736842,18.3333333333,24.3333333333,0.753424657534,11.1666666667,25.0,36.1666666667,22.1666666667,6.16666666667,5.5,14.3333333333,18.6666666667,93.0,0.166666666667,0.0,Houston Rockets,34.6,85.0,0.407058823529,8.0,28.6,0.27972027972,17.0,21.6,0.787037037037,15.0,33.6,48.6,20.8,10.4,3.4,19.4,19.4,94.2,0.4,0.4,1
201301180BRK,Atlanta Hawks,36.9473684211,81.1842105263,0.45510534846,8.65789473684,23.1578947368,0.373863636364,13.2368421053,18.8421052632,0.70251396648,9.86842105263,30.6842105263,40.5526315789,23.2105263158,8.44736842105,4.97368421053,14.1578947368,17.7105263158,95.7894736842,0.5,0.578947368421,Brooklyn Nets,35.4102564103,79.7948717949,0.443766066838,7.41025641026,21.641025641,0.342417061611,18.4358974359,24.4102564103,0.75525210084,12.6923076923,29.1538461538,41.8461538462,20.2051282051,7.25641025641,4.76923076923,13.3076923077,18.5641025641,96.6666666667,0.564102564103,0.589743589744,1
201212070SAC,Orlando Magic,36.9444444444,83.6111111111,0.441860465116,5.27777777778,16.0555555556,0.328719723183,13.2222222222,17.0,0.777777777778,10.7222222222,32.6111111111,43.3333333333,22.2222222222,5.83333333333,4.83333333333,14.5555555556,20.4444444444,92.3888888889,0.5,0.388888888889,Sacramento Kings,36.4705882353,83.1176470588,0.438782731776,6.05882352941,17.5294117647,0.345637583893,15.3529411765,20.7058823529,0.741477272727,11.2352941176,28.9411764706,40.1764705882,18.4117647059,8.11764705882,4.41176470588,14.0,22.8235294118,94.3529411765,0.647058823529,0.294117647059,1
