Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
eacklle01,Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966","University of New Orleans"
eakinji01,Jim Eakins,1969,1978,C,6-11,215,"May 24, 1946","Brigham Young University"
earlac01,Acie Earl,1994,1997,F-C,6-10,240,"June 23, 1970","University of Iowa"
earleed01,Ed Earle,1954,1954,F,6-3,190,"April 28, 1927","Loyola University of Chicago"
earlype01,Penny Early,1969,1969,G,5-3,114,"May 30, 1943",""
eatonma01,Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","University of California, Los Angeles"
eavesje01,Jerry Eaves,1983,1987,G,6-4,180,"February 8, 1959","University of Louisville"
ebankde01,Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989","West Virginia University"
ebbenbi01,Bill Ebben,1958,1958,G,6-4,190,"October 7, 1935","University of Detroit Mercy"
eberhal01,Al Eberhard,1975,1978,F,6-6,225,"May 10, 1952","University of Missouri"
ebind01,Ndudi Ebi,2004,2005,F,6-9,200,"June 18, 1984",""
ebronro01,Roy Ebron,1974,1974,C,6-9,220,"August 31, 1951","University of Louisiana at Lafayette"
eddiepa01,Patrick Eddie,1992,1992,C,6-11,240,"December 27, 1967","University of Mississippi"
eddledi01,Dike Eddleman,1950,1953,F-G,6-3,189,"December 27, 1922","University of Illinois at Urbana-Champaign"
edelike01,Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962","University of Virginia"
edgech01,Charles Edge,1974,1975,F,6-6,210,"February 23, 1950","LeMoyne-Owen College"
edmonbo01,Bobby Edmonds,1968,1970,F,6-6,220,"March 8, 1941","Tennessee State University"
edmonke01,Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960","Purdue University"
edneyty01,Tyus Edney,1996,2001,G,5-10,152,"February 14, 1973","University of California, Los Angeles"
edwarbi01,Bill Edwards,1994,1994,F,6-8,215,"September 22, 1971","Wright State University"
edwarbl01,Blue Edwards,1990,1999,G-F,6-4,200,"October 31, 1965","East Carolina University"
edwarco01,Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979","Central Connecticut State University"
edwardo01,Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971","Florida State University"
edwarfr01,Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959","Cleveland State University"
edwarja01,James Edwards,1978,1996,C-F,7-0,225,"November 22, 1955","University of Washington"
edwarja02,Jay Edwards,1990,1990,G,6-4,185,"January 3, 1969","Indiana University"
edwarjo01,John Edwards,2005,2006,C,7-0,275,"July 31, 1981","Kent State University"
edwarke01,Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965","DePaul University"
eganjo01,Johnny Egan,1962,1972,G,5-11,180,"January 31, 1939","Providence College"
egglelo01,Lonnie Eggleston,1949,1949,G,6-0,170,"June 8, 1918","Oklahoma State University"
ehlerbu01,Bulbs Ehlers,1948,1949,F-G,6-3,198,"March 10, 1923","Purdue University"
ehlocr01,Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961","Washington State University"
eichhdi01,Rich Eichhorst,1962,1962,G,6-3,200,"October 21, 1933","Southeast Missouri State University"
eisleho01,Howard Eisley,1995,2006,G,6-2,177,"December 4, 1972","Boston College"
ekeziob01,Obinna Ekezie,2000,2005,F-C,6-9,270,"August 22, 1975","University of Maryland"
elamikh01,Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979","University of Connecticut"
eliasdo01,Don Eliason,1947,1947,F,6-2,210,"July 24, 1918","Hamline University"
eliema01,Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963","American International College"
ellefra01,Ray Ellefson,1949,1951,C,6-8,230,"November 18, 1922","West Texas A&amp;M University"
ellinwa01,Wayne Ellington,2010,2014,G,6-4,200,"October 29, 1987","University of North Carolina"
elliobo01,Bob Elliott,1979,1981,C-F,6-9,225,"August 18, 1955","University of Arizona"
elliose01,Sean Elliott,1990,2001,F,6-8,205,"February 2, 1968","University of Arizona"
ellisbo02,Bo Ellis,1978,1980,F,6-9,197,"August 8, 1954","Marquette University"
ellisbo01,Boo Ellis,1959,1960,F,6-5,185,"February 11, 1936","Niagara University"
ellisda01,Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960","University of Tennessee"
ellisha01,Harold Ellis,1994,1998,G,6-5,200,"October 7, 1970","Morehouse College"
ellisjo01,Joe Ellis,1967,1974,F-G,6-6,175,"May 3, 1944","University of San Francisco"
ellisla01,LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970","University of Notre Dame"
ellisle02,LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969","Syracuse University"
ellisle01,Leroy Ellis,1963,1976,C-F,6-10,210,"March 10, 1940","St. John's University"
ellismo01,Monta Ellis,2006,2014,G,6-3,175,"October 26, 1985",""
ellispe01,Pervis Ellison,1990,2001,F-C,6-9,210,"April 3, 1967","University of Louisville"
elmorle01,Len Elmore,1975,1984,C-F,6-9,220,"March 28, 1952","University of Maryland"
elsonfr01,Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976","University of California"
elstoda01,Darrell Elston,1975,1977,G,6-4,190,"August 15, 1952","University of North Carolina"
elyme01,Melvin Ely,2003,2011,C,6-10,260,"May 2, 1978","California State University, Fresno"
embrywa01,Wayne Embry,1959,1969,C-F,6-8,240,"March 26, 1937","Miami University"
emmetan01,Andre Emmett,2005,2012,F,6-5,230,"August 27, 1982","Texas Tech University"
endrene01,Ned Endress,1947,1947,F-G,6-2,200,"March 2, 1918","University of Akron"
englech01,Chris Engler,1983,1988,C,6-11,245,"March 1, 1959","University of Wyoming"
