GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201304210MIA,240,38,68,.559,7,23,.304,27,33,.818,11,35,46,22,8,3,19,19,110,1,1
201304230MIA,240,35,78,.449,6,19,.316,22,26,.846,12,31,43,17,10,3,14,17,98,1,1
201304250MIL,240,41,79,.519,8,19,.421,14,25,.560,12,31,43,31,11,3,19,24,104,0,1
201304280MIL,240,34,73,.466,7,26,.269,13,19,.684,8,34,42,24,8,8,13,21,88,0,1
201305060MIA,240,31,78,.397,7,24,.292,17,25,.680,7,25,32,20,8,8,8,24,86,1,0
201305080MIA,240,42,70,.600,9,18,.500,22,29,.759,8,33,41,29,9,5,17,24,115,1,1
201305100CHI,240,35,70,.500,8,20,.400,26,30,.867,9,30,39,21,4,4,12,20,104,0,1
201305130CHI,240,33,68,.485,6,18,.333,16,21,.762,7,29,36,24,9,9,16,23,88,0,1
201305150MIA,240,32,70,.457,6,21,.286,24,33,.727,6,26,32,20,10,5,10,24,94,1,1
201305220MIA,265,41,86,.477,5,18,.278,16,25,.640,16,22,38,24,9,9,20,28,103,1,1
201305240MIA,240,34,73,.466,7,22,.318,18,26,.692,10,22,32,14,4,4,14,27,93,1,0
201305260IND,240,42,77,.545,6,14,.429,24,28,.857,6,30,36,21,6,5,5,30,114,0,1
201305280IND,240,30,77,.390,8,23,.348,24,27,.889,12,18,30,15,7,5,6,30,92,0,0
201305300MIA,240,38,75,.507,7,18,.389,7,12,.583,6,26,32,19,6,7,10,11,90,1,1
201306010IND,240,26,72,.361,10,18,.556,15,19,.789,9,24,33,10,10,6,13,21,77,0,0
201306030MIA,240,30,77,.390,6,16,.375,33,38,.868,15,28,43,14,11,5,10,22,99,1,1
201306060MIA,240,34,78,.436,8,25,.320,12,17,.706,9,37,46,20,4,2,8,12,88,1,0
201306090MIA,240,41,83,.494,10,19,.526,11,14,.786,9,27,36,22,9,6,6,17,103,1,1
201306110SAS,240,31,76,.408,8,18,.444,7,10,.700,9,27,36,21,9,8,16,21,77,0,0
201306130SAS,240,45,85,.529,4,12,.333,15,17,.882,7,34,41,23,13,7,9,26,109,0,1
201306160SAS,240,37,86,.430,11,23,.478,19,23,.826,12,22,34,25,8,3,13,24,104,0,0
201306180MIA,265,38,81,.469,11,19,.579,16,21,.762,12,30,42,23,10,6,15,26,103,1,1
201306200MIA,240,36,82,.439,12,32,.375,11,16,.688,11,32,43,14,8,4,16,19,95,1,1
