Player ID,Player,From,To,Pos,Ht,Wt,Birth Date,College
zasloma01,Max Zaslofsky,1947,1956,G-F,6-2,170,"December 7, 1925","St. John's University"
zawolze01,Zeke Zawoluk,1953,1955,F-C,6-7,215,"October 13, 1930","St. John's University"
zelleco01,Cody Zeller,2014,2014,F,7-0,240,"October 5, 1992","Indiana University"
zelleda01,Dave Zeller,1962,1962,G,6-1,175,"June 8, 1939","Miami University"
zellega01,Gary Zeller,1971,1972,G,6-3,205,"November 20, 1947","Drake University"
zelleha01,Harry Zeller,1947,1947,C-F,6-4,210,"July 10, 1919","Washington &amp; Jefferson College"
zellelu01,Luke Zeller,2013,2013,C,6-11,245,"April 7, 1987","University of Notre Dame"
zellety01,Tyler Zeller,2013,2014,F-C,7-0,250,"January 17, 1990","University of North Carolina"
zenoto01,Tony Zeno,1980,1980,F,6-8,210,"October 1, 1957","Arizona State University"
zevenph01,Phil Zevenbergen,1988,1988,C,6-10,230,"April 13, 1964","University of Washington"
zhizhwa01,Wang Zhizhi,2001,2005,C,7-0,255,"July 8, 1977",""
zidekge01,George Zidek,1996,1998,C,7-0,250,"August 2, 1973","University of California, Los Angeles"
zimmede01,Derrick Zimmerman,2006,2006,G,6-3,195,"December 2, 1981","Mississippi State University"
zoetji01,Jim Zoet,1983,1983,C,7-1,240,"December 20, 1953","Kent State University"
zopfbi01,Bill Zopf,1971,1971,G,6-1,170,"June 7, 1948","Duquesne University"
zunicma01,Matt Zunic,1949,1949,G-F,6-3,195,"December 19, 1919","George Washington University"
