GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201304200NYK,240,32,79,.405,9,25,.360,12,15,.800,10,30,40,13,15,4,13,23,85,1,1
201304230NYK,240,32,76,.421,7,19,.368,16,22,.727,7,35,42,14,5,6,10,17,87,1,1
201304260BOS,240,38,76,.500,11,27,.407,3,8,.375,6,31,37,22,14,4,11,19,90,0,1
201304280BOS,265,31,90,.344,7,30,.233,21,28,.750,16,38,54,10,10,3,15,27,90,0,0
201305010NYK,240,32,81,.395,5,22,.227,17,20,.850,9,30,39,13,8,1,8,19,86,1,0
201305030BOS,240,33,79,.418,9,21,.429,13,16,.813,15,27,42,18,10,8,16,23,88,0,1
201305050NYK,240,35,81,.432,7,19,.368,18,23,.783,6,24,30,15,4,4,10,21,95,1,0
201305070NYK,240,44,89,.494,10,30,.333,7,10,.700,13,24,37,20,11,4,6,20,105,1,1
201305110IND,240,25,71,.352,3,11,.273,18,25,.720,11,30,41,11,7,3,14,23,71,0,0
201305140IND,240,31,87,.356,8,28,.286,12,14,.857,11,25,36,14,7,9,9,29,82,0,0
201305160NYK,240,32,78,.410,7,18,.389,14,17,.824,10,30,40,12,12,5,10,30,85,1,1
201305180IND,240,34,85,.400,13,30,.433,18,18,1.000,14,22,36,19,3,0,9,34,99,0,0
