GAME,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,HOME,WIN
201304200LAC,240,41,74,.554,7,19,.368,23,31,.742,14,33,47,20,4,4,11,28,112,1,1
201304220LAC,240,37,78,.474,2,15,.133,17,22,.773,9,31,40,19,5,10,13,27,93,1,1
201304250MEM,240,26,67,.388,9,23,.391,21,23,.913,5,28,33,14,5,10,16,29,82,0,0
201304270MEM,240,32,78,.410,4,21,.190,15,17,.882,5,23,28,17,8,5,8,27,83,0,0
201304300LAC,240,34,77,.442,6,17,.353,19,25,.760,12,28,40,19,6,5,13,23,93,1,0
201305030MEM,240,41,78,.526,7,20,.350,16,24,.667,8,27,35,19,3,0,13,33,105,0,0
